Locus	Gene	Start	Length	Product	Allele Count	Alleles
STMMW00991		108425	813	DNAj-like protein	428	STMMW_00991.fasta
STMMW01001		109332	660	ribosomal large subunit pseudouridine synthase A	461	STMMW_01001.fasta
STMMW01011		110003	2907	probable ATP-dependent helicase HepA	1041	STMMW_01011.fasta
STMMW01021		113083	2352	DNA polymerase II	965	STMMW_01021.fasta
STMMW01071		117242	696	L-ribulose-5-phosphate 4-epimerase	581	STMMW_01071.fasta
STMMW01081		118078	1503	L-arabinose isomerase	815	STMMW_01081.fasta
STMMW01091		119591	1710	L-ribulokinase	847	STMMW_01091.fasta
STMMW01101		121641	846	arabinose operon regulatory protein	537	STMMW_01101.fasta
STMMW01111		122605	768	DedA family integral membrane protein	503	STMMW_01111.fasta
STMMW01131		124102	1611	putative ABC transporter integral membrane protein	850	STMMW_01131.fasta
STMMW01141		125688	984	thiamine-binding periplasmic protein precursor	658	STMMW_01141.fasta
STMMW01151		126849	1659	putative ABC transporter periplasmic solute binding protein	812	STMMW_01151.fasta
STMMW01152		128600	123		74	STMMW_01152.fasta
STMMW01161		129058	606	3-isopropylmalate dehydratase	496	STMMW_01161.fasta
STMMW01171		129674	1401	3-isopropylmalate dehydratase	783	STMMW_01171.fasta
STMMW01181		131077	1092	3-IPM-DH	637	STMMW_01181.fasta
STMMW01191		132168	1572	2-isopropylmalate synthase	764	STMMW_01191.fasta
STMMW01201		133827	87	leu operon leader peptide	53	STMMW_01201.fasta
STMMW01211		134570	945	probable activator protein in leuABCD operon	435	STMMW_01211.fasta
STMMW01221		135899	1662	acetolactate synthase isozyme III large subunit	777	STMMW_01221.fasta
STMMW01231		137563	492	acetolactate synthase isozyme III small subunit	269	STMMW_01231.fasta
STMMW01241		138338	1005	fructose repressor	499	STMMW_01241.fasta
STMMW01251		139948	459	Protein mraZ	140	STMMW_01251.fasta
STMMW01261		140408	942	S-adenosyl-methyltransferase	493	STMMW_01261.fasta
STMMW01271		141346	366	cell division protein FtsL	187	STMMW_01271.fasta
STMMW01291		143480	1488	Meso-diaminopimelate-adding enzyme	773	STMMW_01291.fasta
STMMW01301		144964	1359	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diami nopimelate--D-alan alanyl ligase	699	STMMW_01301.fasta
STMMW01311		146316	1083	UDP-MurNAc-pentapeptide phosphotransferase	557	STMMW_01311.fasta
STMMW01321		147401	1317	D-glutamic acid adding enzyme	741	STMMW_01321.fasta
STMMW01331		148804	1158	cell division protein FtsW	574	STMMW_01331.fasta
STMMW01341		149958	1068	UDP-N-acetylglucosamine--N-acetylmuramyl-	667	STMMW_01341.fasta
STMMW01351		151144	1476	UDP-N-acetylmuramate--L-alanine ligase	690	STMMW_01351.fasta
STMMW01361		152612	921	D-alanine--D-alanine ligase	526	STMMW_01361.fasta
STMMW01371		153534	831	cell division protein FtsQ	323	STMMW_01371.fasta
STMMW01381		154361	1263	cell division protein FtsA	496	STMMW_01381.fasta
STMMW01391		155684	1152	cell division protein FtsZ	618	STMMW_01391.fasta
STMMW01401		156936	918	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	367	STMMW_01401.fasta
STMMW01411		158201	429	conserved hypothetical protein	215	STMMW_01411.fasta
STMMW01421		158691	2706	preprotein translocase SecA subunit	966	STMMW_01421.fasta
STMMW01431		161548	396	7,8-dihydro-8-oxoguanine-triphosphatase	277	STMMW_01431.fasta
STMMW01441		162265	192	conserved hypothetical protein	107	STMMW_01441.fasta
STMMW01451		162466	744	conserved hypothetical protein	402	STMMW_01451.fasta
STMMW01461		163209	621	dephospho-CoA kinase	313	STMMW_01461.fasta
STMMW01471		164055	1044	GMP reductase	571	STMMW_01471.fasta
STMMW01481		165129	1203	protein transport protein HofC	716	STMMW_01481.fasta
STMMW01491		166321	1386	protein transport protein HofB	745	STMMW_01491.fasta
STMMW01501		167716	438	prepilin peptidase dependent protein D precursor	293	STMMW_01501.fasta
STMMW01511		168375	747	nicotinate-nucleotide pyrophosphorylase	448	STMMW_01511.fasta
STMMW01521		169356	564	AmpD protein (anhydro-N-acetylmuramyl-tripeptide amidase)	268	STMMW_01521.fasta
STMMW01531		169916	855	AmpE protein	525	STMMW_01531.fasta
STMMW01541		170862	951	putatuve glycosysl hydrolase	603	STMMW_01541.fasta
STMMW01551		171812	1407	putative symporter	725	STMMW_01551.fasta
STMMW01571		175318	765	pyruvate dehydrogenase complex repressor	346	STMMW_01571.fasta
STMMW01581		176242	2664	pyruvate dehydrogenase E1 component	934	STMMW_01581.fasta
STMMW01591		178920	1890	dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase	874	STMMW_01591.fasta
STMMW01601		181009	1425	dihydrolipoamide dehydrogenase	668	STMMW_01601.fasta
STMMW01611		182722	285	probable secreted protein	233	STMMW_01611.fasta
STMMW01621		183044	792	probable secreted protein	510	STMMW_01621.fasta
STMMW01641		185851	2598	aconitate hydratase 2 (citrate hydro-lyase 2)	1122	STMMW_01641.fasta
STMMW01661		189597	363	conserved hypothetical protein	182	STMMW_01661.fasta
STMMW01711		194195	795		493	STMMW_01711.fasta
STMMW01721		195010	861	Putrescine aminopropyltransferase	559	STMMW_01721.fasta
STMMW01731		195977	348	putative exported protein	192	STMMW_01731.fasta
STMMW01741		196526	1611	possible multicopper oxidase precursor	825	STMMW_01741.fasta
STMMW01751		198214	2391	glucose dehydrogenase	1070	STMMW_01751.fasta
STMMW01761		200810	537	hypoxanthine phosphoribosyltransferase	380	STMMW_01761.fasta
STMMW01771		201404	663	carbonic anhydrase	284	STMMW_01771.fasta
STMMW01781		202175	927	hypothetical ABC transporter ATP-binding protein	673	STMMW_01781.fasta
STMMW01791		203098	771	ABC transporter integral membrane protein	616	STMMW_01791.fasta
STMMW01841		209286	441	putative PTS system IIA component	282	STMMW_01841.fasta
STMMW01851		209788	1230	putative exported protein	714	STMMW_01851.fasta
STMMW01861		211024	381	Aspartate alpha-decarboxylase	262	STMMW_01861.fasta
STMMW01881		212479	792	3-methyl-2-oxobutanoate hydroxymethyltransferase	563	STMMW_01881.fasta
STMMW01891		213391	480	2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase	256	STMMW_01891.fasta
STMMW01901		213867	1419	poly(A) polymerase	734	STMMW_01901.fasta
STMMW01911		215426	942	glutamyl-tRNA synthetase-related protein	571	STMMW_01911.fasta
STMMW01921		216391	456	dosage-dependent dnaK suppressor protein	161	STMMW_01921.fasta
STMMW01931		217023	705	Sugar fermentation stimulation protein homolog	420	STMMW_01931.fasta
STMMW01941		217744	531	2'-5' RNA ligase	404	STMMW_01941.fasta
STMMW01951		218302	2475	ATP-dependent helicase HrpB	1021	STMMW_01951.fasta
STMMW01961		220917	2523	penicillin-binding protein 1B	947	STMMW_01961.fasta
STMMW01971		223732	2190	ferrichrome-iron receptor	597	STMMW_01971.fasta
STMMW01981		225970	798	ferrichrome transport ATP-binding protein FhuC	612	STMMW_01981.fasta
STMMW01991		226767	891	ferrichrome-binding periplasmic protein precursor	645	STMMW_01991.fasta
STMMW02081		237203	1281	GSA	800	STMMW_02081.fasta
STMMW02091		238653	1422	H+/Cl-exchange transporter clcA	774	STMMW_02091.fasta
STMMW02101		240111	390	conserved hypothetical protein	213	STMMW_02101.fasta
STMMW02121		241261	801	Vitamin B12 transport protein btuF precursor	535	STMMW_02121.fasta
STMMW02131		242054	699	MTA/SAH nucleosidase	486	STMMW_02131.fasta
STMMW02141		242837	1518	dGTP triphosphohydrolase	745	STMMW_02141.fasta
STMMW02151		244484	1428	heat shock protein HtrA	728	STMMW_02151.fasta
STMMW02171		247310	387	conserved hypothetical protein	162	STMMW_02171.fasta
STMMW02181		247943	1302	putative inner membrane protein	695	STMMW_02181.fasta
STMMW02191		249281	825	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	531	STMMW_02191.fasta
STMMW02201		250135	2673	PII uridylyl-transferase	1028	STMMW_02201.fasta
STMMW02211		253044	795	methionine aminopeptidase	389	STMMW_02211.fasta
STMMW02221		254289	726	30S ribosomal protein S2	211	STMMW_02221.fasta
STMMW02231		255272	852	EF-Ts	358	STMMW_02231.fasta
STMMW02241		256268	726	UK	238	STMMW_02241.fasta
STMMW02251		257140	558	RRF	197	STMMW_02251.fasta
STMMW02261		257838	1197	1-deoxy-D-xylulose 5-phosphate reductoisomerase	550	STMMW_02261.fasta
STMMW02271		259347	759	undecaprenyl pyrophosphate synthetase	293	STMMW_02271.fasta
STMMW02281		260118	858	phosphatidate cytidylyltransferase	378	STMMW_02281.fasta
STMMW02291		260987	1353	putative membrane protein	532	STMMW_02291.fasta
STMMW02301		262371	2415	outer membrane protein precursor	587	STMMW_02301.fasta
STMMW02311		264908	486	outer membrane protein OmpH precursor	167	STMMW_02311.fasta
STMMW02321		265397	1026	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	399	STMMW_02321.fasta
STMMW02331		266528	456	(3R)-hydroxymyristol acyl carrier protein dehydrase	158	STMMW_02331.fasta
STMMW02341		266987	789	UDP-N-acetylglucosamine acyltransferase	383	STMMW_02341.fasta
STMMW02351		267775	1149	lipid-A-disaccharide synthase	722	STMMW_02351.fasta
STMMW02361		268920	597	RNase HII	354	STMMW_02361.fasta
STMMW02371		269540	3483	DNA polymerase III, alpha chain	1014	STMMW_02371.fasta
STMMW02381		273035	960	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	458	STMMW_02381.fasta
STMMW02411		278210	390	conserved hypothetical protein	226	STMMW_02411.fasta
STMMW02431		280038	261	ROF protein	128	STMMW_02431.fasta
STMMW02441		280285	219	conserved hypothetical protein	69	STMMW_02441.fasta
STMMW02451		280683	546	conserved hypothetical protein	399	STMMW_02451.fasta
STMMW02461		281225	423	putative release factor	266	STMMW_02461.fasta
STMMW02471		281679	702	copper homeostasis protein CutF precursor (lipoprotein nlpE)	445	STMMW_02471.fasta
STMMW02481		282454	1719	prolyl-tRNA synthetase	757	STMMW_02481.fasta
STMMW02491		284283	708	conserved hypothetical protein	412	STMMW_02491.fasta
STMMW02501		284987	405	RcsF protein	210	STMMW_02501.fasta
STMMW02511		285510	816	putative lipoprotein precursor	513	STMMW_02511.fasta
STMMW02521		286364	654	putative ABC transporter permease protein	417	STMMW_02521.fasta
STMMW02531		287010	1032	putative ABC transporter ATP-binding protein	550	STMMW_02531.fasta
STMMW02532		288231	567		5	STMMW_02532.fasta
STMMW02571		298227	780	Hypothetical UPF0294 protein <ORFName>	455	STMMW_02571.fasta
STMMW02591		299910	1368	membrane-bound lytic murein transglycosylase D precursor	585	STMMW_02591.fasta
STMMW02601		301349	756	probable hydroxyacylglutathione hydrolase	592	STMMW_02601.fasta
STMMW02611		302139	723	conserved hypothetical protein	451	STMMW_02611.fasta
STMMW02621		302858	468	RNase H	284	STMMW_02621.fasta
STMMW02631		303389	732	DNA polymerase III epsilon subunit	416	STMMW_02631.fasta
STMMW03171		349864	720	possible outer membrane adhesin	420	STMMW_03171.fasta
STMMW03181		350914	408	probable secreted protein	221	STMMW_03181.fasta
STMMW03191		351692	768	possible hydrolase	425	STMMW_03191.fasta
STMMW03201		352568	2445	possible acyl-CoA dehydrogenase	1037	STMMW_03201.fasta
STMMW03211		355252	579	phosphoheptose isomerase	292	STMMW_03211.fasta
STMMW03221		356043	768	conserved hypothetical protein	381	STMMW_03221.fasta
STMMW03231		356781	741	putative exported protein	435	STMMW_03231.fasta
STMMW03241		357771	1056	DNA polymerase IV	659	STMMW_03241.fasta
STMMW03271		360944	1458	aminoacyl-histidine dipeptidase precursor	818	STMMW_03271.fasta
STMMW03281		362650	459	xanthine-guanine phosphoribosyltransferase	215	STMMW_03281.fasta
STMMW03291		363197	1245	conserved hypothetical protein	704	STMMW_03291.fasta
STMMW03301		364499	402	curlin genes transcriptional activator	195	STMMW_03301.fasta
STMMW03311		364951	1053	outer membrane pore protein E precursor	597	STMMW_03311.fasta
STMMW03321		366286	1104	glutamate 5-kinase	593	STMMW_03321.fasta
STMMW03331		367401	1251	gamma-glutamyl phosphate reductase	731	STMMW_03331.fasta
STMMW04261		442393	1254	putative metabolite transport protein	686	STMMW_04261.fasta
STMMW04271		443835	1959	type III restriction-modification system enzyme (StyLTI) modification methylase	812	STMMW_04271.fasta
STMMW04281		445803	2973	type III restriction-modification system enzyme (StyLTI) (ec 3.1.21.5)	942	STMMW_04281.fasta
STMMW04291		449052	102	hypothetical protein	68	STMMW_04291.fasta
STMMW04301		449270	1404	probable terminal oxidase subunit I	756	STMMW_04301.fasta
SEN0401		451403	981	thiamine-phosphate kinase	489	SEN0401.fasta
STMMW04351		455316	633	RhtC-like transporter	427	STMMW_04351.fasta
STMMW04361		456180	276	probable secreted protein	139	STMMW_04361.fasta
STMMW04371		456591	1626	propionate catabolism operon regulatory protein	802	STMMW_04371.fasta
STMMW04381		458481	888	putative carboxyvinyl-carboxyphosphonate phosphorylmutase	540	STMMW_04381.fasta
STMMW04391		459491	1170	methylcitrate synthase	704	STMMW_04391.fasta
STMMW04401		460700	1452	PrpD protein	564	STMMW_04401.fasta
STMMW04411		462192	1887	PrpE protein	1047	STMMW_04411.fasta
STMMW04421		464182	975	delta-aminolevulinic acid dehydratase	585	STMMW_04421.fasta
STMMW04441		468691	624	conserved hypothetical protein	352	STMMW_04441.fasta
STMMW04451		469359	1131	penicillin-binding protein AmpH	611	STMMW_04451.fasta
STMMW04461		470965	1119	SbmA protein	813	STMMW_04461.fasta
STMMW04471		472098	1095	putative lipoprotein	686	STMMW_04471.fasta
STMMW04481		473230	309	putative membrane protein	149	STMMW_04481.fasta
STMMW04491		473806	216	putative membrane protein	169	STMMW_04491.fasta
STMMW04501		474047	1095	D-alanine:D-alanine ligase A	567	STMMW_04501.fasta
STMMW04511		475219	714	hypothetical protein	541	STMMW_04511.fasta
STMMW04521		476101	1212	possible efflux pump	649	STMMW_04521.fasta
STMMW04531		477603	267	conserved hypothetical protein	110	STMMW_04531.fasta
STMMW04541		478221	321	phosphate starvation-inducible protein PsiF	280	STMMW_04541.fasta
STMMW04551		478633	1113	adrA protein	665	STMMW_04551.fasta
STMMW04561		479760	810	pyrroline-5-carboxylate reductase	561	STMMW_04561.fasta
STMMW04571		480709	456	conserved hypothetical protein	351	STMMW_04571.fasta
STMMW04581		481349	546	shikimate kinase II	324	STMMW_04581.fasta
STMMW04591		481921	192	conserved hypothetical protein	89	STMMW_04591.fasta
STMMW04601		482363	678	AroM protein	374	STMMW_04601.fasta
STMMW04611		483111	285	conserved hypothetical protein	216	STMMW_04611.fasta
STMMW04621		483433	912	recombination associated protein	530	STMMW_04621.fasta
STMMW04631		484470	909	hypothetical ROK-family protein	609	STMMW_04631.fasta
STMMW04641		485400	1173	transmembrane efflux protein	679	STMMW_04641.fasta
STMMW04651		486745	3141	exonuclease SbcC	1204	STMMW_04651.fasta
STMMW04661		489882	1203	exonuclease SbcD	697	STMMW_04661.fasta
STMMW04671		491298	690	phosphate regulon transcriptional regulatory protein PhoB	402	STMMW_04671.fasta
STMMW04681		492057	1296	phosphate regulon sensor protein PhoR	723	STMMW_04681.fasta
STMMW04691		493761	1320	branched chain amino acid transport system II carrier protein	695	STMMW_04691.fasta
STMMW04701		495155	1371	proline-specific permease ProY	677	STMMW_04701.fasta
STMMW04711		496687	1818	maltodextrin glucosidase	874	STMMW_04711.fasta
STMMW04721		498576	603	probable peroxidase	340	STMMW_04721.fasta
STMMW04731		499388	582	conserved hypothetical protein	305	STMMW_04731.fasta
STMMW04741		500063	1065	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	600	STMMW_04741.fasta
STMMW04751		501324	1128	queuine tRNA-ribosyltransferase	555	STMMW_04751.fasta
STMMW04761		502474	333	putative membrane protein	97	STMMW_04761.fasta
STMMW04771		502834	1848	protein-export membrane protein SecD	753	STMMW_04771.fasta
STMMW04781		504692	972	protein-export membrane protein SecF	457	STMMW_04781.fasta
STMMW04811		507064	348	conserved hypothetical protein	239	STMMW_04811.fasta
STMMW04831		508040	864	nucleoside-specific channel-forming protein tsx precursor	399	STMMW_04831.fasta
STMMW04841		509203	540	putative lipoprotein	361	STMMW_04841.fasta
STMMW04851		509894	450	conserved hypothetical protein	168	STMMW_04851.fasta
STMMW04861		510347	1104	riboflavin biosynthesis protein RibD	637	STMMW_04861.fasta
STMMW04871		511539	471	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)	203	STMMW_04871.fasta
STMMW04881		512030	420	N utilization substance protein B	147	STMMW_04881.fasta
STMMW04901		513483	516	phosphatidylglycerophosphatase A	398	STMMW_04901.fasta
STMMW04911		514102	975	putative oxidoreductase	713	STMMW_04911.fasta
STMMW04921		515133	1863	1-deoxyxylulose-5-phosphate synthase	776	STMMW_04921.fasta
STMMW04931		517019	900	geranyltranstransferase	438	STMMW_04931.fasta
STMMW04941		517919	243	exodeoxyribonuclease small subunit	107	STMMW_04941.fasta
STMMW04951		518371	1449	thiamine biosynthesis protein ThiI	725	STMMW_04951.fasta
STMMW05031		526730	591	4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis (ThiJ) protein	494	STMMW_05031.fasta
STMMW05041		527283	912	2-dehydropantoate 2-reductase	516	STMMW_05041.fasta
STMMW05051		528302	510	conserved hypothetical protein	263	STMMW_05051.fasta
STMMW05061		528858	1350	hpothetical major facilitator family transport protein	729	STMMW_05061.fasta
STMMW05101		533857	891	cytochrome o ubiquinol oxidase C subunit	477	STMMW_05101.fasta
STMMW05111		534759	330	cytochrome o ubiquinol oxidase C subunit	116	STMMW_05111.fasta
STMMW05121		535088	516	cytochrome o ubiquinol oxidase subunit III	265	STMMW_05121.fasta
STMMW05131		535692	1992	cytochrome O ubiquinol oxidase subunit I	812	STMMW_05131.fasta
STMMW05141		537694	957	cytochrome o ubiquinol oxidase subunit II	290	STMMW_05141.fasta
STMMW05151		539103	1476	AmpG protein	702	STMMW_05151.fasta
STMMW05161		540622	633	putative lipoprotein	342	STMMW_05161.fasta
STMMW05171		541504	318	BolA protein	126	STMMW_05171.fasta
STMMW05181		542168	1299	trigger factor	613	STMMW_05181.fasta
STMMW05191		543713	624	ATP-dependent Clp protease proteolytic subunit	211	STMMW_05191.fasta
STMMW05201		544588	1272	ATP-dependent Clp protease ATP-binding subunit ClpX	628	STMMW_05201.fasta
STMMW05211		546045	2355	Lon protease	889	STMMW_05211.fasta
STMMW05221		548608	273	DNA-binding protein Hu-beta	118	STMMW_05221.fasta
STMMW05231		549171	1872	peptidyl-prolyl cis-trans isomerase D	878	STMMW_05231.fasta
STMMW05241		551192	375	putative exported protein	215	STMMW_05241.fasta
STMMW05251		551670	399	conserved hypothetical protein	235	STMMW_05251.fasta
STMMW05261		552174	696	conserved hypothetical protein	489	STMMW_05261.fasta
STMMW05271		552934	1701	Putative solute-binding protein	801	STMMW_05271.fasta
STMMW05281		554735	819	conserved hypothetical protein	475	STMMW_05281.fasta
STMMW05291		555603	1056	putative lyase	592	STMMW_05291.fasta
STMMW05301		556771	459	hypothetical transcriptional regulator	355	STMMW_05301.fasta
STMMW05311		557270	1773	putative ABC transporter ATP-binding membrane protein	790	STMMW_05311.fasta
STMMW05321		559035	1782	putative ABC transporter ATP-binding membrane protein	881	STMMW_05321.fasta
STMMW05331		561029	339	nitrogen regulatory protein P-II	166	STMMW_05331.fasta
STMMW05341		561399	1287	probable ammonium transporter	700	STMMW_05341.fasta
STMMW05351		562785	861	acyl-CoA thioesterase II	545	STMMW_05351.fasta
STMMW05361		563860	570	conserved hypothetical lipoprotein	321	STMMW_05361.fasta
STMMW05371		564462	390	putative methylated-DNA methyltransferase	278	STMMW_05371.fasta
STMMW05381		565082	1551	hypothetical 58.9 kDa protein in tesb-hha intergenic region. Contains probable N-terminal signal sequence	812	STMMW_05381.fasta
STMMW05401		567123	141	putative 50S ribosomal protein L36 (second copy)	69	STMMW_05401.fasta
STMMW05411		567319	471	putative membrane protein	192	STMMW_05411.fasta
STMMW05421		567906	552	maltose O-acetyltransferase	340	STMMW_05421.fasta
STMMW05431		568636	219	haemolysin expression modulating protein	111	STMMW_05431.fasta
STMMW05441		568882	375	conserved hypothetical protein	205	STMMW_05441.fasta
STMMW05451		569752	3150	acriflavin resistance protein B	1187	STMMW_05451.fasta
STMMW05461		572924	1194	acriflavin resistance protein A precursor	597	STMMW_05461.fasta
STMMW05471		574259	654	potential acrAB operon repressor	325	STMMW_05471.fasta
STMMW05481		575031	3363	integral membrane protein AefA	1091	STMMW_05481.fasta
STMMW05501		579440	168	conserved hypothetical protein	67	STMMW_05501.fasta
STMMW05511		579621	516	primosomal replication protein n	372	STMMW_05511.fasta
STMMW05521		580217	378	putative membrane protein	249	STMMW_05521.fasta
STMMW05531		580747	552	adenine phosphoribosyltransferase	282	STMMW_05531.fasta
STMMW05541		581412	1929	DNA polymerase III subunits gamma and tau	816	STMMW_05541.fasta
STMMW05551		583362	354	conserved hypothetical protein	136	STMMW_05551.fasta
STMMW05561		583715	606	recombination protein RecR	375	STMMW_05561.fasta
STMMW05571		584407	1899	heat shock protein HtpG	823	STMMW_05571.fasta
STMMW05581		586546	645	adenylate kinase	340	STMMW_05581.fasta
STMMW05591		587419	963	ferrochelatase	572	STMMW_05591.fasta
STMMW05601		588378	972	acetyl esterase	646	STMMW_05601.fasta
STMMW05611		589502	1305	inosine-guanosine kinase	665	STMMW_05611.fasta
STMMW05621		590855	1677	putative transport protein	840	STMMW_05621.fasta
STMMW05631		592746	1221	fosmidomycin resistance protein	825	STMMW_05631.fasta
STMMW05651		595908	480	conserved hypothetical protein	333	STMMW_05651.fasta
STMMW05681		598450	2502	copper-transporting ATPase	1097	STMMW_05681.fasta
STMMW05691		601061	417	copper efflux regulator	178	STMMW_05691.fasta
STMMW05701		601478	453	putative membrane protein	310	STMMW_05701.fasta
STMMW05711		601927	918	putative membrane protein	554	STMMW_05711.fasta
STMMW05721		602991	678	putative ABC transporter ATP-binding protein	368	STMMW_05721.fasta
STMMW05731		603655	780	putative membrane protein	485	STMMW_05731.fasta
STMMW05741		604520	855	thioredoxin-like protein	593	STMMW_05741.fasta
STMMW05751		605434	771	hypothetical oxidoreductase	510	STMMW_05751.fasta
STMMW05761		606359	615	acyl-coA thioesterase I	258	STMMW_05761.fasta
STMMW05771		606944	687	hypothetical ABC transporter ATP-binding protein	404	STMMW_05771.fasta
STMMW05781		607627	2415	putative membrane protein	1022	STMMW_05781.fasta
STMMW05791		610227	1134	outer membrane protein	643	STMMW_05791.fasta
STMMW06011		634862	1068	phosphoribosylaminoimidazole carboxylase ATPase subunit	721	STMMW_06011.fasta
STMMW06021		635926	510	phosphoribosylaminoimidazole carboxylase catalytic subunit	412	STMMW_06021.fasta
STMMW06031		636553	723	conserved hypothetical protein	504	STMMW_06031.fasta
STMMW06041		637278	495	peptidyl-prolyl cis-trans isomerase B	253	STMMW_06041.fasta
STMMW06051		637945	1386	cysteinyl-tRNA synthetase	696	STMMW_06051.fasta
STMMW06091		641298	213	conserved hypothetical protein	150	STMMW_06091.fasta
STMMW06101		641512	867	FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase	453	STMMW_06101.fasta
STMMW06111		642925	558	type-1 fimbrial protein, a chain precursor	457	STMMW_06111.fasta
STMMW06121		643558	534	major pilin protein	411	STMMW_06121.fasta
STMMW06131		644135	693	fimbrial chaperone protein	478	STMMW_06131.fasta
STMMW06141		644858	2613	outer membrane usher protein FimD precursor	1056	STMMW_06141.fasta
STMMW06151		647485	1008	FimH protein precursor	801	STMMW_06151.fasta
STMMW06161		648502	519	putative fimbrial protein	390	STMMW_06161.fasta
STMMW06171		649066	633	probable transcriptional regulator (FimXZ protein)	347	STMMW_06171.fasta
STMMW06181		650302	723	fimbriae Y protein	537	STMMW_06181.fasta
STMMW06201		651516	597	fimbriae w protein	514	STMMW_06201.fasta
STMMW06281		658068	855	hypothetical araC-family transcriptional regulator	583	STMMW_06281.fasta
