Locus	Gene	Start	Length	Product	Allele Count	Alleles
OG1RFRS00235		51683	858	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	175	OG1RF_RS00235.fasta
OG1RFRS00240		52555	531	DNA-binding protein	96	OG1RF_RS00240.fasta
OG1RFRS00245		53171	567	DNA-directed RNA polymerase sigma factor 30	121	OG1RF_RS00245.fasta
OG1RFRS00250		53852	246	hypothetical protein	20	OG1RF_RS00250.fasta
OG1RFRS00255		54278	852	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	161	OG1RF_RS00255.fasta
OG1RFRS00260		55296	954	zinc ABC transporter substrate-binding protein	222	OG1RF_RS00260.fasta
OG1RFRS00265		56275	693	ABC transporter ATP-binding protein	140	OG1RF_RS00265.fasta
OG1RFRS00270		57129	840	ABC transporter permease	151	OG1RF_RS00270.fasta
OG1RFRS00275		58112	822	pur operon repressor	123	OG1RF_RS00275.fasta
OG1RFRS00280		59144	1377	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	224	OG1RF_RS00280.fasta
OG1RFRS00290		65086	1680	peptide ABC transporter substrate-binding protein	291	OG1RF_RS00290.fasta
OG1RFRS00295		66812	225	hypothetical protein	48	OG1RF_RS00295.fasta
OG1RFRS00305		68256	615	Holliday junction branch migration protein RuvA	138	OG1RF_RS00305.fasta
OG1RFRS00310		68883	1017	Holliday junction branch migration DNA helicase RuvB	182	OG1RF_RS00310.fasta
OG1RFRS00320		70665	699	N-acetylmannosamine-6-phosphate 2-epimerase	177	OG1RF_RS00320.fasta
OG1RFRS00325		71541	2340	hypothetical protein	389	OG1RF_RS00325.fasta
OG1RFRS00335		75388	654	Crp/Fnr family transcriptional regulator	86	OG1RF_RS00335.fasta
OG1RFRS00345		76315	894	oxidoreductase	205	OG1RF_RS00345.fasta
OG1RFRS00350		77221	573	hypothetical protein	122	OG1RF_RS00350.fasta
OG1RFRS00355		77806	192	DUF2273 domain-containing protein	32	OG1RF_RS00355.fasta
OG1RFRS00360		78010	513	Asp23/Gls24 family envelope stress response protein	100	OG1RF_RS00360.fasta
OG1RFRS00365		78581	561	Asp23/Gls24 family envelope stress response protein	96	OG1RF_RS00365.fasta
OG1RFRS00370		79165	243	GlsB/YeaQ/YmgE family stress response membrane protein	56	OG1RF_RS00370.fasta
OG1RFRS00400		83029	1236	MFS transporter	212	OG1RF_RS00400.fasta
OG1RFRS00405		84285	180	hypothetical protein	32	OG1RF_RS00405.fasta
OG1RFRS00415		86299	1488	hypothetical protein	272	OG1RF_RS00415.fasta
OG1RFRS00425		94869	915	diacylglycerol kinase	234	OG1RF_RS00425.fasta
OG1RFRS00435		97716	240	hypothetical protein	55	OG1RF_RS00435.fasta
OG1RFRS00445		101215	771	formate/nitrite transporter	201	OG1RF_RS00445.fasta
OG1RFRS00450		102141	786	lipoprotein	203	OG1RF_RS00450.fasta
OG1RFRS00455		102985	681	hypothetical protein	96	OG1RF_RS00455.fasta
OG1RFRS00460		103922	1107	transcriptional regulator	245	OG1RF_RS00460.fasta
OG1RFRS00465		105051	660	L-serine dehydratase, iron-sulfur-dependent subunit beta	145	OG1RF_RS00465.fasta
OG1RFRS00470		105725	894	L-serine dehydratase, iron-sulfur-dependent subunit alpha	170	OG1RF_RS00470.fasta
OG1RFRS00475		106645	1272	serine--tRNA ligase	268	OG1RF_RS00475.fasta
OG1RFRS00480		107953	915	alpha/beta hydrolase	233	OG1RF_RS00480.fasta
OG1RFRS00485		109034	480	ArgR family transcriptional regulator	59	OG1RF_RS00485.fasta
OG1RFRS00490		109756	489	ArgR family transcriptional regulator	107	OG1RF_RS00490.fasta
OG1RFRS00495		110541	1227	arginine deiminase	179	OG1RF_RS00495.fasta
OG1RFRS00500		111796	1020	ornithine carbamoyltransferase	178	OG1RF_RS00500.fasta
OG1RFRS00505		112921	933	carbamate kinase 1	152	OG1RF_RS00505.fasta
OG1RFRS00510		113878	693	Crp/Fnr family transcriptional regulator	116	OG1RF_RS00510.fasta
OG1RFRS00515		114618	1452	C4-dicarboxylate ABC transporter	203	OG1RF_RS00515.fasta
OG1RFRS00525		116837	336	transcriptional regulator	59	OG1RF_RS00525.fasta
OG1RFRS00535		118580	2508	glycosyl hydrolase	399	OG1RF_RS00535.fasta
OG1RFRS00540		121516	1269	reactive intermediate/imine deaminase	304	OG1RF_RS00540.fasta
OG1RFRS00565		126588	537	ATP-binding protein	137	OG1RF_RS00565.fasta
OG1RFRS00580		127763	1563	GMP synthase (glutamine-hydrolyzing)	290	OG1RF_RS00580.fasta
OG1RFRS00585		129637	924	type I pantothenate kinase	146	OG1RF_RS00585.fasta
OG1RFRS00590		130715	588	esterase	150	OG1RF_RS00590.fasta
OG1RFRS00595		131317	609	16S RNA G1207 methylase RsmC	141	OG1RF_RS00595.fasta
OG1RFRS00600		131958	1014	adenosine deaminase	256	OG1RF_RS00600.fasta
OG1RFRS00605		133131	1008	LacI family transcriptional regulator	216	OG1RF_RS00605.fasta
OG1RFRS00610	deoA	134279	1302	pyrimidine-nucleoside phosphorylase	241	OG1RF_RS00610.fasta
OG1RFRS00615		135608	663	2-deoxyribose-5-phosphate aldolase	152	OG1RF_RS00615.fasta
OG1RFRS00620		136308	396	cytidine deaminase	62	OG1RF_RS00620.fasta
OG1RFRS00625		136799	1074	BMP family ABC transporter substrate-binding protein	193	OG1RF_RS00625.fasta
OG1RFRS00630		137926	1086	BMP family ABC transporter substrate-binding protein	170	OG1RF_RS00630.fasta
OG1RFRS00635		139217	1569	ABC transporter ATP-binding protein	238	OG1RF_RS00635.fasta
OG1RFRS00645		141911	954	ABC transporter permease	182	OG1RF_RS00645.fasta
OG1RFRS00670		145607	1167	phosphopentomutase	195	OG1RF_RS00670.fasta
OG1RFRS00675		146790	819	purine-nucleoside phosphorylase	155	OG1RF_RS00675.fasta
OG1RFRS00680		147626	708	purine-nucleoside phosphorylase	140	OG1RF_RS00680.fasta
OG1RFRS00685		148372	939	ferrichrome ABC transporter substrate-binding protein	206	OG1RF_RS00685.fasta
OG1RFRS00690		149547	801	ferrichrome ABC transporter ATP-binding protein	153	OG1RF_RS00690.fasta
OG1RFRS00695		150344	1011	ferrichrome ABC transporter permease	258	OG1RF_RS00695.fasta
OG1RFRS00700		151351	1005	iron ABC transporter permease	220	OG1RF_RS00700.fasta
OG1RFRS00705		152484	1188	NADH-dependent alcohol dehydrogenase	266	OG1RF_RS00705.fasta
OG1RFRS00710	gpmA	153728	687	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	60	OG1RF_RS00710.fasta
OG1RFRS00715		154589	576	resolvase	126	OG1RF_RS00715.fasta
OG1RFRS00720		155206	681	ribose-5-phosphate isomerase	161	OG1RF_RS00720.fasta
OG1RFRS00725		156231	414	30S ribosomal protein S12	41	OG1RF_RS00725.fasta
OG1RFRS00730		156700	471	30S ribosomal protein S7	48	OG1RF_RS00730.fasta
OG1RFRS00735		157254	2082	elongation factor G	175	OG1RF_RS00735.fasta
OG1RFRS00740		159486	1188	elongation factor Tu	85	OG1RF_RS00740.fasta
OG1RFRS00750		161950	1167	cyclopropane-fatty-acyl-phospholipid synthase	241	OG1RF_RS00750.fasta
OG1RFRS00755		163465	309	30S ribosomal protein S10	38	OG1RF_RS00755.fasta
OG1RFRS00760		163795	630	50S ribosomal protein L3	58	OG1RF_RS00760.fasta
OG1RFRS00765		164450	624	50S ribosomal protein L4	74	OG1RF_RS00765.fasta
OG1RFRS00770		165073	291	50S ribosomal protein L23	19	OG1RF_RS00770.fasta
OG1RFRS00775		165403	831	50S ribosomal protein L2	75	OG1RF_RS00775.fasta
OG1RFRS00780		166276	279	30S ribosomal protein S19	22	OG1RF_RS00780.fasta
OG1RFRS00785		166576	348	50S ribosomal protein L22	36	OG1RF_RS00785.fasta
OG1RFRS00790		166990	657	30S ribosomal protein S3	83	OG1RF_RS00790.fasta
OG1RFRS00795		167649	435	50S ribosomal protein L16	27	OG1RF_RS00795.fasta
OG1RFRS00805		168285	267	30S ribosomal protein S17	24	OG1RF_RS00805.fasta
OG1RFRS00810		168609	369	50S ribosomal protein L14	22	OG1RF_RS00810.fasta
OG1RFRS00815		169013	312	50S ribosomal protein L24	22	OG1RF_RS00815.fasta
OG1RFRS00820		169350	540	50S ribosomal protein L5	27	OG1RF_RS00820.fasta
OG1RFRS00825	rpsN	169908	186	30S ribosomal protein S14 type Z	17	OG1RF_RS00825.fasta
OG1RFRS00830		170129	399	30S ribosomal protein S8	34	OG1RF_RS00830.fasta
OG1RFRS00835		170559	537	50S ribosomal protein L6	48	OG1RF_RS00835.fasta
OG1RFRS00840		171256	357	50S ribosomal protein L18	29	OG1RF_RS00840.fasta
OG1RFRS00845		171633	501	30S ribosomal protein S5	42	OG1RF_RS00845.fasta
OG1RFRS00850		172148	180	50S ribosomal protein L30	19	OG1RF_RS00850.fasta
OG1RFRS00855		172375	441	50S ribosomal protein L15	34	OG1RF_RS00855.fasta
OG1RFRS00860		172816	1299	preprotein translocase subunit SecY	174	OG1RF_RS00860.fasta
OG1RFRS00865		174201	651	adenylate kinase	58	OG1RF_RS00865.fasta
OG1RFRS00870		175062	219	translation initiation factor IF-1	17	OG1RF_RS00870.fasta
OG1RFRS00875		175313	117	50S ribosomal protein L36	12	OG1RF_RS00875.fasta
OG1RFRS00880		175449	366	30S ribosomal protein S13	19	OG1RF_RS00880.fasta
OG1RFRS00885		175842	390	30S ribosomal protein S11	30	OG1RF_RS00885.fasta
OG1RFRS00890		176312	939	DNA-directed RNA polymerase subunit alpha	90	OG1RF_RS00890.fasta
OG1RFRS00895		177324	384	50S ribosomal protein L17	27	OG1RF_RS00895.fasta
OG1RFRS00905		177982	1200	membrane protein	278	OG1RF_RS00905.fasta
OG1RFRS00910		179239	1134	peptidase M20	253	OG1RF_RS00910.fasta
OG1RFRS00920		181383	876	energy-coupling factor transporter ATPase	195	OG1RF_RS00920.fasta
OG1RFRS00925		182255	798	cobalt ABC transporter ATP-binding protein	159	OG1RF_RS00925.fasta
OG1RFRS00930		183071	750	tRNA pseudouridine(38-40) synthase TruA	142	OG1RF_RS00930.fasta
OG1RFRS00935		183871	312	hypothetical protein	50	OG1RF_RS00935.fasta
OG1RFRS00940		184315	1356	branched-chain amino acid transporter II carrier protein	253	OG1RF_RS00940.fasta
OG1RFRS00945		185761	492	N-acetyltransferase	156	OG1RF_RS00945.fasta
OG1RFRS00950		186435	576	Rossman fold protein, TIGR00730 family	173	OG1RF_RS00950.fasta
OG1RFRS00955		187055	741	peptide ABC transporter ATP-binding protein	132	OG1RF_RS00955.fasta
OG1RFRS00960		187807	1584	glutamine ABC transporter substrate-binding protein	237	OG1RF_RS00960.fasta
OG1RFRS00965		189949	297	hypothetical protein	28	OG1RF_RS00965.fasta
OG1RFRS00970		190418	714	NAD-dependent protein deacetylase	173	OG1RF_RS00970.fasta
OG1RFRS00975		191136	846	chorismate mutase	189	OG1RF_RS00975.fasta
OG1RFRS00980		191992	513	transcriptional regulator	78	OG1RF_RS00980.fasta
OG1RFRS00985		192733	1512	N-acetylmuramoyl-L-alanine amidase	284	OG1RF_RS00985.fasta
OG1RFRS00990		194521	1491	aldehyde dehydrogenase	298	OG1RF_RS00990.fasta
OG1RFRS00995		196238	984	L-lactate dehydrogenase	148	OG1RF_RS00995.fasta
OG1RFRS01005		198113	3570	transcription-repair coupling factor	463	OG1RF_RS01005.fasta
OG1RFRS01010		201698	1590	polysaccharide biosynthesis protein	279	OG1RF_RS01010.fasta
OG1RFRS01015		203302	264	hypothetical protein	50	OG1RF_RS01015.fasta
OG1RFRS01020		203605	168	hypothetical protein	36	OG1RF_RS01020.fasta
OG1RFRS01025		203820	480	hypothetical protein	55	OG1RF_RS01025.fasta
OG1RFRS01030		204344	480	RNA-binding protein	70	OG1RF_RS01030.fasta
OG1RFRS01035		204909	1389	tRNA(Ile)-lysidine synthetase	270	OG1RF_RS01035.fasta
OG1RFRS01040		206316	546	hypoxanthine-guanine phosphoribosyltransferase	58	OG1RF_RS01040.fasta
OG1RFRS01045		206955	2157	cell division protein FtsH	325	OG1RF_RS01045.fasta
OG1RFRS01050		209273	897	molecular chaperone Hsp33	194	OG1RF_RS01050.fasta
OG1RFRS01055		210181	999	tRNA dihydrouridine synthase DusB	216	OG1RF_RS01055.fasta
OG1RFRS01060		211273	1497	lysine--tRNA ligase	266	OG1RF_RS01060.fasta
OG1RFRS01215		224434	1431	6-phospho-beta-glucosidase	259	OG1RF_RS01215.fasta
OG1RFRS01220		225987	1467	6-phospho-beta-glucosidase	296	OG1RF_RS01220.fasta
OG1RFRS01225		227474	819	histidine phosphatase family protein	201	OG1RF_RS01225.fasta
OG1RFRS01230		229376	744	carboxymethylenebutenolidase-related protein	207	OG1RF_RS01230.fasta
OG1RFRS01235		230137	567	Ada regulatory protein/6-O-methylguanine-DNA methyltransferase	152	OG1RF_RS01235.fasta
OG1RFRS01240		230901	432	cysteine methyltransferase	99	OG1RF_RS01240.fasta
OG1RFRS01245		231345	513	DNA-3-methyladenine glycosylase I	130	OG1RF_RS01245.fasta
OG1RFRS01250		231870	675	phosphohydrolase	170	OG1RF_RS01250.fasta
OG1RFRS01255		232687	936	cation transporter	185	OG1RF_RS01255.fasta
OG1RFRS01260		233667	399	DUF4809 domain-containing protein	108	OG1RF_RS01260.fasta
OG1RFRS01265		234163	753	enoyl-ACP reductase	136	OG1RF_RS01265.fasta
OG1RFRS01270		235213	1239	beta-ketoacyl-[acyl-carrier-protein] synthase II	257	OG1RF_RS01270.fasta
OG1RFRS01275		236453	435	beta-hydroxyacyl-ACP dehydratase	80	OG1RF_RS01275.fasta
OG1RFRS01280		237065	936	dihydroorotate dehydrogenase	206	OG1RF_RS01280.fasta
OG1RFRS01290		238185	648	elongation factor G-binding protein	165	OG1RF_RS01290.fasta
OG1RFRS01295		239187	561	elongation factor P	76	OG1RF_RS01295.fasta
OG1RFRS01300		239917	138	hypothetical protein	34	OG1RF_RS01300.fasta
OG1RFRS01305		240144	918	cysteine synthase	223	OG1RF_RS01305.fasta
OG1RFRS01310		241075	1137	cystathionine gamma-synthase	263	OG1RF_RS01310.fasta
OG1RFRS01315		242248	1431	6-phospho-beta-glucosidase	311	OG1RF_RS01315.fasta
OG1RFRS01320		243705	1335	PTS cellobiose transporter subunit IIC	272	OG1RF_RS01320.fasta
OG1RFRS01325		245213	762	MurR/RpiR family transcriptional regulator	207	OG1RF_RS01325.fasta
OG1RFRS01330		246221	543	dihydrofolate reductase	129	OG1RF_RS01330.fasta
OG1RFRS01335		246895	1368	K+ transporter trk	272	OG1RF_RS01335.fasta
OG1RFRS01340		248283	1164	sodium:proton antiporter	213	OG1RF_RS01340.fasta
OG1RFRS01345		249574	441	uracil phosphoribosyltransferase	137	OG1RF_RS01345.fasta
OG1RFRS01350		250030	2487	copper-translocating P-type ATPase	407	OG1RF_RS01350.fasta
OG1RFRS01355		252538	207	copper transporter CopZ	57	OG1RF_RS01355.fasta
OG1RFRS01360		252789	1371	hypothetical protein	296	OG1RF_RS01360.fasta
OG1RFRS01365		254159	390	GntR family transcriptional regulator	70	OG1RF_RS01365.fasta
OG1RFRS01370		254698	1329	aminopeptidase C	266	OG1RF_RS01370.fasta
OG1RFRS01375		256070	621	hypothetical protein	172	OG1RF_RS01375.fasta
OG1RFRS01380		256712	975	glyoxalase	252	OG1RF_RS01380.fasta
OG1RFRS01385		257973	336	multidrug resistance protein SMR	87	OG1RF_RS01385.fasta
OG1RFRS01390		258305	312	QacE family quaternary ammonium compound efflux SMR transporter	88	OG1RF_RS01390.fasta
OG1RFRS01395		258712	1047	chitinase	255	OG1RF_RS01395.fasta
OG1RFRS01400		259801	585	chitin-binding protein	120	OG1RF_RS01400.fasta
OG1RFRS01410		261444	834	hypothetical protein	195	OG1RF_RS01410.fasta
OG1RFRS01415		262294	537	haloacid dehalogenase	159	OG1RF_RS01415.fasta
OG1RFRS01420		262853	1353	aspartate kinase	252	OG1RF_RS01420.fasta
OG1RFRS01425		264392	687	haloacid dehalogenase	141	OG1RF_RS01425.fasta
OG1RFRS01430		265264	1737	septation ring formation regulator EzrA	257	OG1RF_RS01430.fasta
OG1RFRS01435		267126	1146	aminotransferase V	238	OG1RF_RS01435.fasta
OG1RFRS01445		269013	1482	two-component sensor histidine kinase	267	OG1RF_RS01445.fasta
OG1RFRS01450		270680	978	DUF4822 domain-containing protein	232	OG1RF_RS01450.fasta
OG1RFRS01465		274441	606	hypothetical protein	160	OG1RF_RS01465.fasta
OG1RFRS01470		275098	1212	deaminase	256	OG1RF_RS01470.fasta
OG1RFRS01490		277963	1593	purine catabolism regulatory protein	281	OG1RF_RS01490.fasta
OG1RFRS13290		279678	3012	acyl-CoA synthetase FdrA	411	OG1RF_RS13290.fasta
OG1RFRS01510		283525	1254	MFS transporter	199	OG1RF_RS01510.fasta
OG1RFRS01515		284913	939	carbamate kinase 2	171	OG1RF_RS01515.fasta
OG1RFRS01520		285858	1221	dicarboxylate/amino acid:cation symporter	238	OG1RF_RS01520.fasta
OG1RFRS01525		287167	1062	ureidoglycolate dehydrogenase	242	OG1RF_RS01525.fasta
OG1RFRS01530		288294	1356	hypothetical protein	244	OG1RF_RS01530.fasta
OG1RFRS01535		289665	1233	N-acyl-D-amino-acid deacylase	266	OG1RF_RS01535.fasta
OG1RFRS01545		293730	165	hypothetical protein	71	OG1RF_RS01545.fasta
OG1RFRS01555		295861	1128	5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase	264	OG1RF_RS01555.fasta
OG1RFRS01560		297040	1185	AI-2E family transporter	203	OG1RF_RS01560.fasta
OG1RFRS01565		298240	516	membrane protein	120	OG1RF_RS01565.fasta
OG1RFRS01570		298832	102	hypothetical protein	25	OG1RF_RS01570.fasta
OG1RFRS01575		298948	687	membrane protein	119	OG1RF_RS01575.fasta
OG1RFRS01580		299631	945	membrane protein	158	OG1RF_RS01580.fasta
OG1RFRS01585		300591	642	pyroglutamyl-peptidase I	127	OG1RF_RS01585.fasta
OG1RFRS01590		301676	1404	Na+/H+ antiporter NhaC	255	OG1RF_RS01590.fasta
OG1RFRS01595		303231	435	transcriptional regulator	75	OG1RF_RS01595.fasta
OG1RFRS01600		303670	636	nitroreductase	183	OG1RF_RS01600.fasta
OG1RFRS01605		304348	834	haloacid dehalogenase	227	OG1RF_RS01605.fasta
OG1RFRS01615		307098	2034	transcription antiterminator BglG	352	OG1RF_RS01615.fasta
OG1RFRS01620		309142	435	PTS mannitol transporter subunit IIA	112	OG1RF_RS01620.fasta
OG1RFRS01630		310187	1773	PTS mannitol transporter subunit IICB	326	OG1RF_RS01630.fasta
OG1RFRS01635		311974	438	mannitol-specific phosphotransferase enzyme IIA component	89	OG1RF_RS01635.fasta
OG1RFRS01640		312426	1155	mannitol-1-phosphate 5-dehydrogenase	230	OG1RF_RS01640.fasta
OG1RFRS01645		313649	1116	oxidoreductase	266	OG1RF_RS01645.fasta
OG1RFRS01650		314843	639	NAD-binding protein	157	OG1RF_RS01650.fasta
OG1RFRS01655		315802	1179	RND transporter	225	OG1RF_RS01655.fasta
OG1RFRS01660		316990	711	ABC transporter ATP-binding protein	156	OG1RF_RS01660.fasta
OG1RFRS01665		317697	1230	ABC transporter permease	248	OG1RF_RS01665.fasta
OG1RFRS01680		320376	705	DUF4811 domain-containing protein	186	OG1RF_RS01680.fasta
OG1RFRS01685		321080	1518	MFS transporter	267	OG1RF_RS01685.fasta
OG1RFRS01690		322710	456	MerR family transcriptional regulator	89	OG1RF_RS01690.fasta
OG1RFRS01695		323296	753	IclR family transcriptional regulator	146	OG1RF_RS01695.fasta
OG1RFRS01700		324209	648	bifunctional 2-keto-4-hydroxyglutarate aldolase/2-keto-3-deoxy-6-phosphogluconate aldolase	157	OG1RF_RS01700.fasta
OG1RFRS01705		324861	1008	2-dehydro-3-deoxygluconokinase	250	OG1RF_RS01705.fasta
OG1RFRS01710		325890	831	5-keto-4-deoxyuronate isomerase	175	OG1RF_RS01710.fasta
OG1RFRS01715		326742	789	gluconate 5-dehydrogenase	154	OG1RF_RS01715.fasta
OG1RFRS01775		338886	201	hypothetical protein	59	OG1RF_RS01775.fasta
OG1RFRS01780		339193	1482	MFS transporter	242	OG1RF_RS01780.fasta
OG1RFRS01790		341492	600	peptidase M23	81	OG1RF_RS01790.fasta
OG1RFRS01795		342161	372	competence protein ComA	98	OG1RF_RS01795.fasta
OG1RFRS01800		342706	816	1,4-dihydroxy-2-naphthoyl-CoA synthase	155	OG1RF_RS01800.fasta
OG1RFRS01805		343526	1458	2-succinylbenzoate-CoA ligase	268	OG1RF_RS01805.fasta
OG1RFRS01810		344980	1368	menaquinone-specific isochorismate synthase	249	OG1RF_RS01810.fasta
OG1RFRS01815		346347	1734	2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate synthase	305	OG1RF_RS01815.fasta
OG1RFRS01820		348089	804	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase	216	OG1RF_RS01820.fasta
OG1RFRS01825		348893	1104	o-succinylbenzoate synthase	240	OG1RF_RS01825.fasta
OG1RFRS01830		350053	699	glucosamine-6-phosphate deaminase	183	OG1RF_RS01830.fasta
OG1RFRS01835		351003	1527	acetate--CoA ligase	292	OG1RF_RS01835.fasta
OG1RFRS01840		352750	402	osmotically inducible protein C	120	OG1RF_RS01840.fasta
OG1RFRS01845		353195	780	anion permease	165	OG1RF_RS01845.fasta
OG1RFRS01855		354931	819	PTS mannose transporter subunit IID	184	OG1RF_RS01855.fasta
OG1RFRS01860		355780	477	PTS mannose transporter subunit IID	122	OG1RF_RS01860.fasta
OG1RFRS01865		356273	852	MurR/RpiR family transcriptional regulator	168	OG1RF_RS01865.fasta
OG1RFRS01870		357127	903	N-acetylmuramic acid 6-phosphate etherase	265	OG1RF_RS01870.fasta
OG1RFRS01875		358042	990	serine hydrolase	265	OG1RF_RS01875.fasta
OG1RFRS01880		359041	420	PTS fructose transporter subunit IIA	137	OG1RF_RS01880.fasta
OG1RFRS01885		359495	810	hypothetical protein	183	OG1RF_RS01885.fasta
OG1RFRS01890		360498	609	superoxide dismutase [Fe]	161	OG1RF_RS01890.fasta
OG1RFRS01895		361254	981	diaminopimelate epimerase	212	OG1RF_RS01895.fasta
OG1RFRS01900		362384	1209	LytR family transcriptional regulator	225	OG1RF_RS01900.fasta
OG1RFRS01905		363722	702	glucosamine-6-phosphate deaminase	123	OG1RF_RS01905.fasta
OG1RFRS01910		364519	702	magnesium transporter MgtC	151	OG1RF_RS01910.fasta
OG1RFRS01925		367320	966	ribonucleoside-diphosphate reductase	131	OG1RF_RS01925.fasta
OG1RFRS01930		368486	2160	ribonucleoside-diphosphate reductase subunit alpha	253	OG1RF_RS01930.fasta
OG1RFRS01940		371005	225	NrdH-redoxin	21	OG1RF_RS01940.fasta
OG1RFRS01945		371742	474	ferrous iron transporter A	135	OG1RF_RS01945.fasta
OG1RFRS01950		372212	2151	ferrous iron transport protein B	345	OG1RF_RS01950.fasta
OG1RFRS01955		374369	138	hypothetical protein	27	OG1RF_RS01955.fasta
OG1RFRS01965		374975	840	glyoxal reductase	209	OG1RF_RS01965.fasta
OG1RFRS01970		375837	483	glyoxalase/bleomycin resistance/dioxygenase family protein	91	OG1RF_RS01970.fasta
OG1RFRS01975		376486	1446	cardiolipin synthase	301	OG1RF_RS01975.fasta
OG1RFRS01980		378629	1257	Tyrosine--tRNA ligase 1	170	OG1RF_RS01980.fasta
OG1RFRS01985		380136	1911	tyrosine decarboxylase	208	OG1RF_RS01985.fasta
OG1RFRS01990		382249	1419	amino acid permease	151	OG1RF_RS01990.fasta
OG1RFRS01995		383792	1407	Na+/H+ antiporter NhaC	231	OG1RF_RS01995.fasta
OG1RFRS02000		385554	918	hypothetical protein	254	OG1RF_RS02000.fasta
OG1RFRS02005		386523	450	hypothetical protein	120	OG1RF_RS02005.fasta
OG1RFRS02010		387111	507	phosphatidylglycerophosphatase A	120	OG1RF_RS02010.fasta
OG1RFRS02015		387645	108	hypothetical protein	14	OG1RF_RS02015.fasta
OG1RFRS02020		387749	954	L-lactate dehydrogenase	187	OG1RF_RS02020.fasta
OG1RFRS02025		388870	363	DUF4809 domain-containing protein	97	OG1RF_RS02025.fasta
