Locus	GCF_001999065	GCF_002214105	GCF_016775745	GCF_018735785	GCF_002214005	GCF_014843335	GCF_003999665	GCF_003390475	GCF_014304775	GCF_001483405	GCF_002213965	GCF_001483425	GCF_018968745	GCF_010442835	GCF_002043045	GCF_001027125	GCF_018336735	GCF_013122235	GCF_002848485	GCF_004771195	GCF_000307065	GCF_002105635	GCF_009730635	GCF_000513595	GCF_000306985	GCF_900231485	GCF_000568475	GCF_013177375	GCF_018336775	GCF_018336655	GCF_002213785	GCF_001047715	GCF_000306905	GCF_900637785	GCF_000307005	GCF_001596775	GCF_001454925	GCF_013177415	GCF_001027065	GCF_000307045	GCF_002213985	GCF_001551855	GCF_000026705	GCF_015583955	GCF_001548635	GCF_002848505	GCF_001454865	GCF_001005985	GCF_008807975	GCF_001188655	GCF_900637775	GCF_018966805	GCF_001998985	GCF_018336755	GCF_002213565	GCF_008807875	GCF_002213585	GCF_003043895	GCF_001952755	GCF_001027085	GCF_008807935	GCF_014983945	GCF_002213765	GCF_018336695	GCF_004101665	GCF_003031955	GCF_002843525	GCF_900275645	GCF_000438645	GCF_003144075	GCF_000258905	GCF_014304695	GCF_018336715	GCF_006364035	GCF_000168595	GCF_002285835	GCF_001889645	GCF_009648595	GCF_002213885	GCF_003812545	GCF_018604305	GCF_018604265	GCF_002831485	GCF_001454845	GCF_004763665	GCF_002213645	GCF_018336675	GCF_003433415	GCF_002116675	GCF_003409075	GCF_001454885	GCF_000195395	GCF_000438725	GCF_018336635	GCF_016802645	GCF_000577745	GCF_001999105	GCF_001999025	GCF_009664755	GCF_000746625	GCF_014843315	GCF_016728025	GCF_000513635	GCF_002214085	GCF_000582845	GCF_002214065	GCF_016775765	GCF_001998945	GCF_002213685	GCF_013389395	GCF_905219375	GCF_000950775	GCF_001548585	GCF_016767835	GCF_002213545	GCF_009648655	GCF_900187225	GCF_018604205	GCF_003032055	GCF_016757715	GCF_002105675	GCF_000438745	GCF_905219385	GCF_002213945	GCF_000307615	GCF_003900515	GCF_001513695	GCF_003030405	GCF_009866905	GCF_002213865	GCF_014987905	GCF_002213805	GCF_009648695	GCF_002214125	GCF_004771175	GCF_002213505	GCF_002557815	GCF_004142705	GCF_018966765	GCF_001188045	GCF_001999005	GCF_008807955	GCF_003031935	GCF_002101275	GCF_001913195	GCF_001999165	GCF_014843295	GCF_016775725	GCF_001999085	GCF_018604325	GCF_002220325	GCF_002105615	GCF_002105715	GCF_009648635	GCF_000513675	GCF_002105655	GCF_002213845	GCF_000613085	GCF_000513695	GCF_001889585	GCF_000022925	GCF_000513615	GCF_000195435	GCF_002214145	GCF_000438625	GCF_000209755	GCF_014304675	GCF_000568935	GCF_000808055	GCF_000168635	GCF_019332005	GCF_000318055	GCF_001999145	GCF_001027245	GCF_900231475	GCF_002848425	GCF_009664735	GCF_000093125	GCF_000307085	GCF_001027165	GCF_018336795	GCF_002213605	GCF_003722375	GCF_018735945	GCF_000438685	GCF_000438705	GCF_002213705	GCF_015689035	GCF_001644625	GCF_001998915	GCF_001027205	GCF_018310555	GCF_018106265	GCF_014983645	GCF_002285655	GCF_002848465	GCF_013177395	GCF_014334275	GCF_002105695	GCF_008807915	GCF_018736025	GCF_000681515	GCF_002214045	GCF_000021185	GCF_014843275	GCF_009866885	GCF_000197755	GCF_000513655	GCF_001952795	GCF_009664775	GCF_000168575	GCF_002213745	GCF_002208215	GCF_009730615	GCF_000438585	GCF_018604185	GCF_002557735	GCF_008807895	GCF_000438665	GCF_000168695	GCF_018604285	GCF_013137935	GCF_000218305	GCF_003032075	GCF_001999125	GCF_003030165	GCF_002025165	GCF_000438605	GCF_000800335	GCF_014983505	GCF_002213905	GCF_003031975	GCF_002969195	GCF_002213825	GCF_006364655	GCF_018604245	GCF_001908335	GCF_001483445	GCF_002213665	GCF_001188025	GCF_000008285	GCF_000196035	GCF_018604225	GCF_009648675	GCF_009648615	GCF_002213925	GCF_018672415	GCF_000600015	GCF_001999045	GCF_000210815	GCF_002213625	GCF_003812565	GCF_003031915	GCF_001952735	GCF_010443035	GCF_002213725	GCF_004768685	GCF_003031895	GCF_902385845	GCF_001952775	GCF_001005925	B33116
lmo0290	2	2	2	2	2	11	9	2	3	16	2	18	139	3	11	3	3	11	1	21	8	28	6	6	14	4	3	11	2	25	1	2	13	3	1	3	2	11	6	3	2	3	4	6	2	1	8	22	209	5	3	133	11	2	6	173	6	1	6	3	11	6	1	3	11	275	1	2	1	3	4	3	2	2	9	2	2	2	2	68	6	18	1	2	3	6	6	2	324	2	8	2	11	6	11	18	2	6	25	6	77	16	6	2	3	2	2	11	6	24	11	4	2	11	6	2	3	18	2	30	52	11	11	2	2	3	6	2	2	1	6	22	2	3	11	2	1	2	4	27	12	2	21	11	6	11	3	14	1	25	11	9	190	2	6	18	1	6	6	2	6	2	11	3	2	5	3	2	11	12	30	2	2	3	6	1	9	6	4	2	3	6	2	18	2	11	6	185	24	22	3	1	2	11	2	1	11	11	16	209	2	11	6	5	7	1	2	6	6	1	1	1	2	6	10	11	1	22	2	3	21	568	5	1	28	18	2	9	2	2	6	34	1	22	2	25	2	6	6	11	2	1	18	2	2	2	17	2	2	1	6	125	2	6	5	6	17	2	2	6	2	2
lmo0291	4	4	4	4	4	4	9	2	3	13	4	15	127	3	4	10	3	109	1	10	8	26	18	248	10	4	3	4	2	10	1	4	11	3	1	3	2	4	21	3	4	3	4	248	4	1	8	19	426	5	3	138	4	2	248	60	248	1	248	3	23	248	1	3	4	10	1	4	7	3	4	3	4	175	9	4	2	4	4	69	248	15	1	4	3	248	248	4	263	4	8	2	4	248	4	24	4	248	10	248	76	13	248	4	3	4	0	4	248	21	4	4	4	23	248	4	3	15	223	27	52	4	4	4	4	3	248	2	2	7	248	19	4	3	23	4	1	2	4	25	10	4	10	11	248	4	3	10	19	10	23	9	27	4	248	15	7	248	248	2	248	4	4	3	4	5	3	4	4	10	27	4	4	3	18	1	9	248	4	4	3	248	4	15	2	4	248	167	21	19	3	1	4	4	4	1	4	4	13	426	4	4	248	5	2	1	2	248	248	1	1	1	4	18	2	4	1	14	4	3	10	4	5	1	26	24	2	9	4	2	248	31	1	19	2	10	4	248	248	4	4	1	24	4	4	4	16	4	2	1	248	8	2	248	5	248	14	2	4	248	4	175
lmo0292	7	4	7	4	7	2	11	2	3	16	60	18	173	3	2	23	3	4	1	13	10	31	0	6	14	4	3	12	2	13	33	63	2	3	1	3	354	12	46	3	7	3	4	6	4	1	10	25	700	5	3	207	4	2	6	81	6	1	6	3	7	6	33	3	12	13	1	7	9	3	4	3	7	121	11	4	2	63	7	91	6	18	1	7	3	6	6	121	414	7	10	2	12	6	2	28	4	6	13	6	100	16	6	4	3	7	7	2	6	1	12	4	4	39	6	63	3	18	2	14	70	12	12	7	7	3	6	2	2	9	6	25	4	3	355	60	1	8	4	30	13	4	13	2	6	12	3	14	14	13	355	11	243	63	6	18	9	6	6	2	6	7	12	3	4	5	3	7	12	13	14	7	4	3	22	1	11	6	4	4	3	6	7	18	8	12	6	230	1	25	3	1	7	12	4	1	12	12	16	700	7	12	6	5	8	1	8	6	6	1	1	33	4	22	8	12	1	14	7	3	13	12	5	1	31	28	2	11	7	2	6	38	1	25	2	13	4	6	6	12	7	1	28	63	63	7	19	7	2	1	6	157	2	6	5	6	17	2	4	6	4	121
lmo0293	7	12	7	4	7	7	10	2	3	19	42	21	46	3	7	11	3	2	11	16	9	0	0	6	17	4	3	14	2	16	11	42	7	3	11	3	2	14	62	3	7	3	4	6	12	11	9	27	526	5	3	63	44	2	6	81	6	11	6	3	2	6	11	3	14	16	11	15	8	3	4	3	7	2	10	12	2	42	7	65	6	21	11	7	3	6	6	2	124	15	9	2	14	6	7	27	12	6	16	6	97	19	6	12	3	7	7	7	6	11	14	4	12	2	6	42	3	21	2	33	0	14	14	7	7	3	6	2	2	56	6	27	12	3	2	42	11	13	4	30	16	4	16	41	6	14	3	17	60	16	2	10	205	42	6	21	56	6	6	2	6	7	14	3	12	5	3	7	14	16	33	15	12	3	25	11	10	6	4	12	3	6	15	21	7	14	6	199	11	27	3	0	7	14	12	11	0	14	19	526	7	14	6	5	7	1	7	6	6	11	11	11	12	25	13	14	11	17	7	3	16	14	5	11	31	27	2	10	7	2	6	39	11	27	2	16	12	6	6	14	7	1	27	42	42	7	22	15	2	11	6	9	2	6	5	6	20	2	12	6	12	2
lmo0296	7	36	7	4	162	30	11	2	3	14	2	19	163	3	30	1	3	141	1	14	10	1	23	6	16	4	3	13	2	14	1	60	15	3	1	3	2	13	56	3	7	3	4	6	12	1	10	9	494	5	3	199	12	2	6	140	6	1	6	3	4	6	1	3	13	14	1	7	9	3	4	3	7	122	11	12	2	60	7	9	6	19	1	7	3	6	6	122	133	7	10	2	13	6	30	14	12	6	14	6	131	1	6	36	3	7	7	30	6	1	13	4	12	26	6	60	3	19	2	33	70	13	13	7	7	3	6	2	2	9	6	9	12	3	26	2	1	8	4	29	14	4	14	40	6	13	3	16	56	14	26	11	233	60	6	19	9	6	6	2	6	0	13	3	12	5	3	7	13	14	33	7	12	3	23	1	11	6	4	12	3	6	7	19	8	13	6	224	1	9	3	1	7	13	12	1	13	13	1	494	7	13	6	5	8	1	8	6	6	1	1	1	12	23	8	13	1	45	7	3	14	13	5	1	1	14	2	11	7	2	6	1	1	9	2	14	12	6	6	13	7	1	14	60	60	7	20	7	2	1	6	97	2	6	5	6	340	2	36	6	12	122
lmo0297	8	226	0	7	8	35	12	2	3	184	2	21	0	3	35	26	3	194	1	15	11	38	25	6	17	7	3	1093	2	15	1	83	16	3	1	3	2	14	24	3	8	3	7	6	13	1	11	28	0	5	3	269	60	2	6	286	6	1	6	3	93	6	1	3	14	15	1	8	10	3	4	3	8	163	12	13	2	83	8	87	6	21	1	8	229	6	6	163	605	8	11	2	14	6	35	15	13	6	15	6	174	19	6	226	3	8	8	35	6	1	14	7	13	32	6	83	3	21	0	39	97	14	14	8	8	3	386	2	2	10	6	28	13	3	32	2	1	9	7	34	15	7	15	45	6	14	3	17	24	15	32	12	313	83	6	21	10	6	6	2	6	8	14	3	13	5	3	8	14	15	39	8	13	3	25	1	12	6	7	13	3	6	8	21	9	14	6	301	1	28	229	1	8	14	13	1	14	14	19	0	8	14	6	5	9	1	9	6	6	1	0	1	13	25	9	14	1	55	8	3	15	14	5	1	38	15	2	12	0	2	6	1	1	28	2	15	147	6	6	14	8	1	15	83	83	8	22	8	2	1	6	203	2	6	5	6	20	2	226	6	13	163
lmo0298	9	13	9	7	9	34	12	8	3	68	8	21	253	3	34	25	3	170	1	26	11	36	24	6	17	7	3	13	351	15	1	22	16	3	1	3	8	13	68	3	9	3	7	6	13	1	11	28	621	5	3	231	55	351	6	242	6	1	6	3	78	6	1	3	13	26	1	9	0	3	4	3	9	149	12	13	8	22	9	113	6	21	1	9	3	6	6	149	159	9	11	8	13	6	34	30	13	6	15	6	158	19	6	13	3	9	9	34	6	1	13	7	13	31	6	22	3	21	8	37	82	13	13	9	9	3	6	8	8	314	6	28	13	3	31	8	1	14	7	33	15	7	446	32	6	13	3	17	68	15	31	12	173	22	6	21	314	6	6	8	6	9	13	3	13	5	3	9	13	15	37	9	13	3	24	1	12	6	7	13	3	6	9	21	10	13	6	255	1	28	3	1	9	13	13	1	13	13	19	621	9	13	6	5	10	1	10	6	6	1	1	1	13	24	14	13	1	48	9	3	26	13	5	1	36	30	8	12	9	8	6	30	1	28	8	15	13	6	6	13	9	1	30	22	22	9	21	9	8	1	6	121	8	6	5	6	20	8	13	6	13	149
lmo0299	7	10	7	4	7	16	3	6	270	3	6	9	104	3	16	3	3	44	1	3	9	3	3	3	12	4	3	11	6	15	1	23	4	3	1	3	6	11	3	3	7	3	4	3	10	1	9	3	18	5	3	42	4	6	3	99	3	1	3	3	8	3	1	3	11	3	1	7	3	3	4	3	7	23	3	10	6	23	7	9	3	9	1	7	3	3	3	23	12	7	9	6	11	3	16	12	10	3	15	3	14	3	3	10	3	7	7	16	3	1	11	4	10	16	3	23	3	9	6	12	12	11	11	7	7	3	3	6	6	3	3	3	10	3	16	6	1	8	4	17	3	4	3	4	3	11	3	12	3	15	16	3	12	23	3	9	3	3	3	6	3	7	11	3	10	5	3	7	11	3	12	7	10	3	3	1	3	3	4	10	3	3	7	9	8	11	3	57	1	3	3	1	7	11	10	1	11	11	3	18	7	11	3	5	8	1	8	3	3	1	1	1	10	3	8	11	1	1	7	3	3	11	5	1	3	12	6	3	7	6	3	12	1	3	6	15	10	3	3	11	7	1	12	23	23	7	9	7	6	1	3	53	6	3	5	3	12	6	10	3	10	23
lmo0300	7	12	7	4	7	34	11	2	3	106	2	20	292	3	34	18	3	187	1	25	10	35	24	6	16	4	3	13	2	14	1	83	15	3	1	3	2	13	80	3	7	3	4	6	12	1	10	27	927	5	3	259	63	2	6	276	6	1	6	3	89	6	1	3	13	25	1	7	9	3	4	3	7	162	11	12	2	83	7	122	6	20	1	7	3	6	6	162	555	7	10	2	13	6	34	29	12	6	14	6	173	18	6	12	3	7	7	34	6	1	13	4	12	30	6	83	3	20	2	37	93	13	13	7	7	3	6	2	2	9	6	27	12	3	30	2	1	8	4	33	14	4	25	49	6	13	3	16	80	14	30	11	306	83	6	20	9	6	6	2	6	7	13	3	12	5	1010	7	13	14	37	7	12	3	24	1	11	6	4	12	3	6	7	20	8	13	6	295	1	27	3	1	7	13	12	1	13	13	18	927	7	13	6	5	8	1	8	6	6	1	1	1	12	24	8	13	1	1	7	3	25	13	5	1	35	29	2	11	7	2	6	44	462	27	2	14	12	6	6	13	7	1	29	83	83	7	21	7	2	1	6	130	2	6	5	6	19	2	12	6	12	162
lmo0314	7	11	7	4	7	14	416	2	3	17	56	19	180	3	14	17	3	110	1	24	10	34	15	6	15	4	3	12	2	31	1	11	14	3	1	3	2	12	20	3	7	3	4	6	11	1	10	26	717	5	3	169	71	2	6	232	6	1	6	3	72	6	1	3	12	24	1	7	9	3	4	3	7	135	9	11	2	11	7	83	6	19	1	7	3	6	6	135	412	7	10	2	12	6	14	30	11	6	31	6	144	17	6	11	3	7	7	14	6	28	12	4	11	32	6	11	3	19	2	38	82	12	12	7	7	3	6	2	2	9	6	26	11	3	32	56	1	8	4	33	13	4	24	46	6	12	3	15	20	31	32	9	256	11	6	19	9	6	6	2	6	7	12	3	11	5	3	7	12	13	38	7	11	3	15	1	9	6	4	11	3	6	7	19	8	12	6	244	28	26	3	1	7	12	11	1	12	12	17	717	7	12	6	5	8	1	8	6	6	1	1	1	11	15	8	12	1	53	7	3	24	12	5	1	34	30	2	9	7	2	6	17	1	26	2	31	11	6	6	12	7	1	30	11	11	7	20	7	2	1	6	112	2	6	5	6	18	2	11	6	11	135
lmo0316	7	4	7	36	7	14	11	2	3	17	61	19	169	3	14	17	3	59	1	23	10	30	23	6	15	4	3	7	2	29	1	4	14	3	1	3	2	7	62	3	7	3	4	6	4	1	10	25	661	5	3	100	7	2	6	21	6	1	6	3	59	6	1	3	7	58	1	7	9	3	4	3	7	7	11	4	2	4	7	3	276	19	1	7	3	6	276	7	381	7	10	2	7	276	14	28	4	6	29	6	138	17	6	4	3	7	7	14	6	27	7	4	4	14	6	4	3	19	2	6	75	7	7	7	7	3	6	2	2	9	6	25	4	3	14	61	1	8	4	21	13	36	23	38	6	7	3	15	62	29	14	11	210	4	6	19	9	6	6	2	6	7	7	3	4	5	3	7	7	13	6	7	4	3	23	1	11	6	4	4	3	6	7	19	8	7	6	226	27	0	3	1	7	7	4	1	7	7	17	661	7	7	6	5	8	1	8	6	6	1	1	1	4	23	8	7	1	17	7	3	23	7	5	1	30	28	2	11	7	2	6	37	1	25	2	29	4	6	6	7	12	1	28	4	4	7	20	7	2	1	6	155	2	257	5	6	18	2	4	6	4	7
lmo0317	7	9	7	36	7	290	6	2	682	14	60	16	162	3	290	14	3	58	1	20	8	29	20	6	12	4	3	4	2	26	1	4	11	3	1	3	2	4	61	3	7	3	4	6	9	1	8	22	635	5	3	93	4	2	6	213	6	1	6	3	9	6	1	3	4	57	1	7	6	3	4	3	7	237	6	9	2	4	7	3	6	16	1	7	3	6	6	4	358	7	8	2	4	6	290	25	9	6	26	6	0	14	6	9	3	7	0	290	6	24	4	4	9	103	6	4	3	16	2	24	73	4	4	7	7	3	6	2	2	6	6	22	9	3	103	60	1	4	4	28	10	36	20	40	6	4	3	12	61	26	103	6	236	4	6	16	6	6	6	2	6	7	4	3	9	5	3	7	4	10	24	7	9	3	20	1	6	6	4	9	3	6	7	16	4	4	6	223	24	22	3	1	7	4	9	1	4	4	14	635	7	4	6	5	4	1	4	6	6	1	1	1	9	20	4	4	1	44	7	3	20	4	5	1	29	25	2	6	7	2	6	37	1	22	2	26	9	6	6	4	7	1	25	4	4	7	17	7	2	1	6	99	2	6	5	6	15	2	9	6	9	237
lmo0319	8	13	8	7	8	38	12	2	3	12	8	17	195	3	38	19	3	943	1	26	11	6	25	6	17	7	3	14	2	34	1	77	16	3	1	3	2	14	73	3	8	3	7	6	13	1	11	28	862	5	3	117	61	2	6	248	6	1	6	3	27	6	1	3	14	271	1	8	10	3	4	3	8	8	12	13	2	77	8	91	6	17	1	8	3	6	6	8	0	8	11	2	14	6	38	31	13	6	32	6	162	19	6	13	3	8	8	38	6	30	14	7	13	33	6	77	3	17	2	17	90	14	14	8	8	3	6	2	2	10	374	28	13	3	33	8	1	9	7	37	15	7	26	48	6	14	3	17	73	34	33	12	180	77	6	17	10	6	6	2	6	8	14	3	13	5	3	8	14	15	17	8	13	3	25	1	12	6	7	13	3	6	8	17	9	14	6	239	30	28	3	1	8	14	13	1	14	14	0	862	8	14	6	5	9	1	9	6	6	1	1	1	13	25	9	14	1	30	8	3	26	14	5	1	6	31	2	12	8	2	6	45	1	28	2	34	13	6	6	14	8	1	31	77	77	8	21	8	2	1	6	186	2	6	5	6	20	2	13	6	13	8
lmo0342	7	12	7	4	7	37	11	2	3	191	80	20	300	3	37	26	3	7	1	27	10	39	25	6	16	4	3	13	2	14	1	86	15	3	1	3	2	13	22	3	7	3	4	6	12	1	10	29	940	5	3	278	0	2	6	292	6	1	6	3	94	6	1	3	13	74	1	7	9	3	4	3	7	13	11	12	2	86	7	99	6	401	1	7	3	6	6	13	552	7	10	2	13	6	37	32	12	0	14	6	181	18	6	12	3	7	7	37	6	1	13	4	12	456	6	86	3	20	2	16	98	13	13	7	7	3	6	2	2	455	6	29	12	3	456	80	1	8	4	36	0	4	27	265	6	13	3	16	81	14	456	11	318	86	6	20	455	6	6	2	6	7	13	3	12	5	3	7	13	14	16	7	12	3	25	1	11	6	4	12	3	6	7	20	8	13	6	305	1	29	3	1	0	13	12	1	13	13	26	940	7	13	6	5	8	1	8	6	6	1	1	1	457	25	8	13	1	40	7	3	27	13	5	1	39	32	2	11	7	2	6	47	1	29	2	14	12	6	6	13	7	1	32	86	86	7	22	7	2	1	6	212	2	6	5	6	19	2	12	6	12	13
lmo0343	7	4	7	4	7	4	6	2	3	1	7	14	133	3	4	1	3	7	1	17	8	1	16	6	1	4	3	7	2	9	1	7	7	3	1	3	2	7	16	3	7	3	4	6	4	1	8	18	393	5	3	58	7	2	6	125	6	1	6	3	7	6	1	3	7	31	1	7	6	3	4	3	7	7	6	4	2	7	7	14	6	14	1	7	3	6	6	7	82	7	8	2	7	6	4	14	4	6	9	6	81	1	6	4	3	7	7	4	6	1	7	4	4	7	6	7	3	14	52	1	14	7	7	7	7	3	6	2	2	6	6	18	4	3	7	7	1	7	4	7	9	4	17	25	6	7	3	1	23	9	7	6	89	7	6	14	6	6	6	2	6	7	7	3	4	5	3	7	7	9	1	7	4	3	16	1	6	6	11	4	3	6	7	14	10	7	6	6	1	18	3	1	7	7	4	1	7	7	1	393	7	7	6	5	7	1	7	6	6	1	1	1	4	16	7	7	1	1	7	3	17	7	5	1	1	14	2	6	7	2	6	1	1	18	2	9	4	6	6	7	7	1	14	7	7	7	16	7	2	1	6	48	2	6	5	6	13	2	4	6	4	7
lmo0344	0	11	7	4	7	24	1	2	3	1	7	1	157	3	24	1	3	7	1	3	10	1	15	6	1	4	3	7	2	21	1	7	13	3	1	3	2	7	15	3	7	3	4	6	11	1	10	17	417	5	3	77	0	2	6	150	6	1	6	3	29	6	1	3	7	162	1	7	9	3	4	3	7	23	1	11	2	7	7	52	6	1	1	7	3	6	6	23	280	7	10	2	7	6	24	20	0	6	21	6	94	1	6	11	3	7	7	24	6	1	7	4	11	22	6	7	3	1	2	1	51	7	7	7	7	3	6	2	2	9	6	17	11	3	22	7	1	8	4	4	12	4	3	30	6	7	3	1	3	21	22	1	106	7	6	40	9	6	6	2	6	7	7	3	11	5	3	7	7	12	1	7	0	3	15	1	1	6	4	11	3	6	7	1	8	7	6	160	1	17	3	1	7	7	11	1	7	7	1	417	7	7	6	5	8	1	8	6	6	1	1	1	11	15	8	7	1	1	7	3	3	7	5	1	1	20	2	1	7	2	6	28	1	17	2	21	11	6	6	7	7	1	20	7	7	7	15	7	0	1	6	10	2	6	5	6	1	2	11	6	11	23
lmo0345	4	8	4	4	4	15	7	2	3	7	17	3	56	3	15	3	3	29	1	11	6	3	3	3	3	4	3	4	2	1	1	29	2	3	1	3	2	4	3	3	4	3	4	3	8	1	6	12	54	5	3	28	17	2	3	42	3	1	3	3	26	3	1	3	4	3	1	4	3	3	4	3	4	17	7	8	2	29	4	3	3	3	1	4	3	3	3	17	178	4	6	2	4	3	15	14	8	3	1	3	61	3	3	8	3	4	4	15	3	1	4	4	8	15	3	29	3	3	2	3	3	4	4	4	4	3	3	2	2	3	3	12	8	3	15	17	1	4	4	17	9	4	11	2	3	4	3	3	7	1	15	7	3	29	3	3	3	3	3	2	3	4	4	3	8	5	3	4	4	9	3	4	8	3	3	1	7	3	4	8	3	3	4	3	4	4	3	6	1	12	3	1	4	4	8	1	4	4	3	54	4	4	3	5	4	1	4	3	3	1	1	1	8	3	4	4	1	23	4	3	11	4	5	1	3	14	2	7	4	2	3	20	1	12	2	1	8	3	3	4	4	1	14	29	29	4	3	4	2	1	3	6	2	3	5	3	3	2	8	3	8	17
lmo0346	6	10	6	4	6	29	9	2	3	1	6	14	185	3	29	14	3	17	1	19	8	30	315	3	12	4	3	6	2	25	1	47	10	3	1	3	2	6	18	3	6	3	4	3	10	1	8	21	505	5	3	46	27	2	3	177	3	1	3	3	47	3	1	3	6	44	1	6	3	3	4	3	6	27	9	10	2	47	6	3	3	14	1	6	3	3	3	27	313	6	8	2	6	3	29	24	10	3	25	3	110	14	3	10	3	6	6	29	3	23	6	4	10	26	3	47	3	14	2	12	54	6	6	6	6	3	3	2	2	3	3	21	10	3	26	6	1	7	4	28	11	4	19	17	3	6	3	12	45	25	26	9	192	47	3	14	3	3	3	2	3	6	6	3	10	5	3	6	6	11	12	6	10	3	18	1	9	3	4	10	3	3	6	14	7	6	3	186	23	21	3	1	6	6	10	1	6	6	14	505	6	6	3	5	7	1	7	3	3	1	1	1	10	315	7	6	1	3	6	3	19	590	5	1	30	24	2	9	6	2	3	3	1	21	2	25	10	3	3	6	6	1	24	47	47	6	16	6	2	1	3	38	2	3	5	3	14	2	10	3	10	27
lmo0347	6	9	6	4	6	2	1	2	3	1	2	1	75	3	2	1	3	2	1	12	8	1	1	1	10	4	3	6	2	13	1	15	2	3	1	3	2	6	1	3	6	3	4	1	9	1	8	1	5	5	3	25	30	2	1	5	1	1	1	3	15	1	1	3	6	1	1	6	1	3	4	3	6	2	1	9	2	15	6	1	1	1	1	6	3	1	1	2	72	6	8	2	6	1	2	1	9	1	13	1	71	1	1	9	3	6	6	2	1	1	6	4	9	15	1	15	3	1	2	10	1	6	6	6	6	3	1	2	2	1	1	1	9	3	15	2	1	7	4	4	1	4	12	2	1	6	3	10	1	13	15	1	119	15	1	1	1	1	1	2	1	6	6	3	9	5	3	6	6	1	10	6	9	3	1	1	1	1	4	9	3	1	6	1	7	6	1	25	1	1	3	1	6	6	9	1	6	6	1	5	6	6	1	5	7	1	7	1	1	1	1	1	9	1	7	6	1	22	6	3	12	6	5	1	1	1	2	1	6	2	1	1	1	1	2	13	9	1	1	6	6	1	1	15	15	6	1	6	2	1	1	24	2	1	5	1	1	2	9	1	9	2
lmo0348	6	10	6	3	6	23	1	2	1	1	2	1	125	1	23	14	1	16	1	20	9	1	1	5	1	3	1	6	2	1	1	42	12	1	1	1	2	6	1	1	6	1	3	5	10	1	9	18	559	4	1	43	37	2	5	157	5	1	5	1	48	107	1	1	6	169	1	6	8	1	3	1	6	37	1	10	2	42	6	1	5	1	1	6	1	5	5	222	303	6	9	2	6	5	23	14	41	5	1	5	97	14	5	10	1	6	6	23	5	1	6	3	10	19	5	42	1	1	2	442	52	6	6	6	6	1	5	2	2	1	5	18	10	1	19	2	1	7	0	12	11	3	20	28	5	6	1	1	1	1	19	24	1	42	5	1	1	185	5	2	5	6	6	1	10	4	1	6	6	11	442	6	10	1	1	1	1	5	3	10	1	5	6	1	7	6	5	164	1	18	1	1	6	6	10	1	6	21	14	559	6	6	5	4	7	1	7	5	5	1	1	1	10	1	7	6	1	33	6	1	20	6	4	1	1	14	2	1	6	2	5	1	1	18	2	1	81	5	5	6	6	1	14	42	42	6	1	6	2	1	5	36	2	5	4	5	15	2	10	5	10	37
lmo0349	5	9	5	4	5	2	3	2	3	6	9	6	56	3	2	12	3	5	1	1	8	3	6	6	6	4	3	10	2	3	1	18	2	3	1	3	2	10	6	3	5	3	4	6	9	1	8	13	62	5	3	24	2	2	6	71	6	1	6	3	5	6	1	3	5	1	1	5	7	3	4	3	5	58	3	9	2	18	5	6	6	6	1	5	3	6	6	58	137	5	8	2	10	6	2	1	9	6	3	6	11	12	6	9	3	5	5	2	6	1	5	4	9	2	6	18	3	6	2	6	6	10	5	5	5	3	6	2	2	7	6	13	9	3	2	9	1	2	4	14	1	4	1	5	6	5	3	6	6	3	2	3	6	18	6	6	7	6	6	2	6	5	10	3	9	5	3	5	5	1	6	5	9	3	6	1	3	6	4	9	3	6	5	6	2	10	6	8	1	13	3	1	5	5	9	1	10	5	12	62	5	5	6	5	2	1	2	6	6	1	1	1	9	6	2	5	1	13	5	3	1	5	5	1	3	1	2	0	5	2	6	3	1	13	2	3	9	6	6	5	5	1	1	18	18	5	6	5	2	1	6	5	2	6	5	6	3	2	9	6	9	58
lmo0350	2	2	2	4	2	2	6	2	3	6	2	6	28	3	2	9	3	2	1	1	7	6	6	6	6	4	3	2	2	6	1	2	2	3	1	3	2	2	6	3	2	3	4	6	2	1	7	6	42	5	3	17	2	2	6	7	6	1	6	3	2	6	1	3	2	1	1	2	6	3	4	3	2	2	6	2	2	2	2	6	6	6	1	2	3	6	6	2	139	2	7	2	2	6	2	1	2	6	6	6	41	9	6	2	3	2	2	2	6	1	2	77	2	2	6	2	3	6	2	6	1	2	2	2	2	3	6	2	2	6	6	6	2	3	2	2	1	2	4	2	1	4	1	2	6	2	3	6	6	6	2	6	6	2	6	6	6	6	6	2	6	2	2	3	2	5	3	2	2	1	6	2	2	3	6	1	6	6	4	2	3	6	2	6	2	2	6	67	1	6	3	1	2	2	2	1	2	2	9	42	2	2	6	5	2	1	2	6	6	1	1	1	2	6	2	2	1	6	2	3	1	2	5	1	6	1	2	6	2	2	6	3	1	6	2	6	2	6	6	2	2	1	1	2	2	2	6	2	2	1	6	7	2	6	5	6	6	2	2	6	2	2
