Locus	Gene	Start	Length	Product	Allele Count	Alleles
PA0077	icmF1	91521	3306	type VI secretion protein IcmF	634	PA0077.fasta
PA0079		96404	1335	hypothetical protein	281	PA0079.fasta
PA0080		97754	465	hypothetical protein	111	PA0080.fasta
PA0083		101247	519	hypothetical protein	82	PA0083.fasta
PA0084		101778	1497	hypothetical protein	277	PA0084.fasta
PA0085	hcp1	103350	489	protein secretion apparatus assembly protein	58	PA0085.fasta
PA0086		104006	846	hypothetical protein	220	PA0086.fasta
PA0087		104853	510	hypothetical protein	140	PA0087.fasta
PA0088		105359	1860	hypothetical protein	391	PA0088.fasta
PA0094		114611	435	hypothetical protein	115	PA0094.fasta
PA0097		117931	1200	hypothetical protein	345	PA0097.fasta
PA0102		123871	729	carbonic anhydrase	156	PA0102.fasta
PA0103		124810	1572	sulfate transporter	421	PA0103.fasta
PA0105	coxB	127378	1125	cytochrome C oxidase subunit II	225	PA0105.fasta
PA0106	coxA	128512	1593	cytochrome C oxidase subunit I	356	PA0106.fasta
PA0107		130115	555	cytochrome C oxidase assembly protein	142	PA0107.fasta
PA0108	coIII	130680	888	cytochrome C oxidase subunit III	185	PA0108.fasta
PA0109		131583	210	hypothetical protein	37	PA0109.fasta
PA0110		131808	795	hypothetical protein	311	PA0110.fasta
PA0113		134319	915	protoheme IX farnesyltransferase	228	PA0113.fasta
PA0114	senC	135259	636	cytochrome c oxidase assembly protein SenC	168	PA0114.fasta
PA0115		135934	453	hypothetical protein	152	PA0115.fasta
PA0117		137248	729	short-chain dehydrogenase	171	PA0117.fasta
PA0118		138001	588	hypothetical protein	179	PA0118.fasta
PA0119		138818	1350	C4-dicarboxylate transporter DctA	365	PA0119.fasta
PA0120		140216	687	transcriptional regulator	148	PA0120.fasta
PA0121		141003	735	hypothetical protein	219	PA0121.fasta
PA0122		141917	411	hypothetical protein	75	PA0122.fasta
PA0123		142359	909	transcriptional regulator	231	PA0123.fasta
PA0124		143567	282	hypothetical protein	124	PA0124.fasta
PA0125		143845	228	hypothetical protein	52	PA0125.fasta
PA0126		144248	621	hypothetical protein	160	PA0126.fasta
PA0127		144969	501	hypothetical protein	137	PA0127.fasta
PA0128		145542	342	hypothetical protein	87	PA0128.fasta
PA0129	gabP	145965	1428	gamma-aminobutyrate permease	320	PA0129.fasta
PA0130		147561	1494	3-oxopropanoate dehydrogenase	321	PA0130.fasta
PA0131		149138	288	beta-alanine degradation protein BauB	74	PA0131.fasta
PA0132		149425	1347	beta alanine--pyruvate transaminase	327	PA0132.fasta
PA0133		150906	918	HTH-type transcriptional activator BauR	258	PA0133.fasta
PA0134		151936	1371	guanine deaminase	353	PA0134.fasta
PA0137		155988	1098	ABC transporter permease	315	PA0137.fasta
PA0138		157108	927	ABC transporter permease	271	PA0138.fasta
PA0139	ahpC	158199	564	alkyl hydroperoxide reductase	98	PA0139.fasta
PA0141		160552	897	hypothetical protein	169	PA0141.fasta
PA0142		161906	1350	8-oxoguanine deaminase	439	PA0142.fasta
PA0143	nuh	163363	1053	nonspecific ribonucleoside hydrolase	313	PA0143.fasta
PA0144		164443	627	hypothetical protein	179	PA0144.fasta
PA0145		165219	519	hypothetical protein	159	PA0145.fasta
PA0146		165976	1098	hypothetical protein	303	PA0146.fasta
PA0147		167146	963	oxidoreductase	266	PA0147.fasta
PA0148		168213	951	adenosine deaminase	209	PA0148.fasta
PA0149		169361	546	ECF subfamily sigma-70 factor	152	PA0149.fasta
PA0152	pcaQ	173811	828	transcriptional regulator PcaQ	255	PA0152.fasta
PA0153	pcaH	174773	720	protocatechuate 3,4-dioxygenase subunit beta	162	PA0153.fasta
PA0154	pcaG	175503	606	protocatechuate 3,4-dioxygenase subunit alpha	170	PA0154.fasta
PA0155	pcaR	176315	840	transcriptional regulator PcaR	222	PA0155.fasta
PA0156		177307	1152	resistance-nodulation-cell division (RND) efflux membrane fusion protein	282	PA0156.fasta
PA0157		178455	1071	resistance-nodulation-cell division (RND) efflux membrane fusion protein	298	PA0157.fasta
PA0158		179522	3048	resistance-nodulation-cell division (RND) efflux transporter	578	PA0158.fasta
PA0159		182768	939	transcriptional regulator	255	PA0159.fasta
PA0160		183822	186	hypothetical protein	44	PA0160.fasta
PA0162	opdC	184594	1335	histidine porin OpdC	322	PA0162.fasta
PA0163		185957	798	transcriptional regulator	184	PA0163.fasta
PA0165		189120	837	hypothetical protein	161	PA0165.fasta
PA0166		190198	1407	transporter	440	PA0166.fasta
PA0167		191697	666	transcriptional regulator	138	PA0167.fasta
PA0170		193799	381	hypothetical protein	75	PA0170.fasta
PA0171		194206	543	hypothetical protein	58	PA0171.fasta
PA0172		194757	1992	hypothetical protein	375	PA0172.fasta
PA0174		198080	603	hypothetical protein	129	PA0174.fasta
PA0179		204094	366	two-component response regulator	54	PA0179.fasta
PA0180	cttP	204657	1173	trichloroethylene chemotactic transducer CttP	310	PA0180.fasta
PA0181		206022	933	transcriptional regulator	210	PA0181.fasta
PA0182		207071	753	3-ketoacyl-ACP reductase	207	PA0182.fasta
PA0183	atsA	207923	1611	arylsulfatase	410	PA0183.fasta
PA0184		209621	840	ABC transporter ATP-binding protein	234	PA0184.fasta
PA0186		212340	1062	ABC transporter	332	PA0186.fasta
PA0189		215550	1359	porin	361	PA0189.fasta
PA0191		217905	918	transcriptional regulator	189	PA0191.fasta
PA0192		219172	2373	TonB-dependent receptor	487	PA0192.fasta
PA0193		221585	903	hypothetical protein	269	PA0193.fasta
PA0194		222555	900	hypothetical protein	221	PA0194.fasta
PA0195	pntAA	224101	1119	NAD(P) transhydrogenase subunit alpha	287	PA0195.fasta
PA01951	pntAB	225295	309	NAD(P) transhydrogenase subunit alpha	46	PA0195_1.fasta
PA0196	pntB	225603	1437	pyridine nucleotide transhydrogenase subunit beta	351	PA0196.fasta
PA0198	exbB1	228223	720	transporter ExbB	124	PA0198.fasta
PA0199	exbD1	228944	402	biopolymer transport protein ExbD	76	PA0199.fasta
PA0200		229526	213	hypothetical protein	50	PA0200.fasta
PA0201		229954	582	hypothetical protein	144	PA0201.fasta
PA0208	mdcA	237232	1665	malonate decarboxylase subunit alpha	429	PA0208.fasta
PA0211	mdcD	240071	864	malonate decarboxylase subunit beta	247	PA0211.fasta
PA0215		243431	405	malonate transporter MadL	129	PA0215.fasta
PA0216		243841	765	malonate transporter MadM	206	PA0216.fasta
PA0217		244690	930	transcriptional regulator	246	PA0217.fasta
PA0218		245948	921	transcriptional regulator	240	PA0218.fasta
PA0220		248767	1434	amino acid APC family transporter	348	PA0220.fasta
PA0221		250231	1383	aminotransferase	345	PA0221.fasta
PA0222		251777	1059	hypothetical protein	275	PA0222.fasta
PA0223		252913	882	dihydrodipicolinate synthetase	181	PA0223.fasta
PA0224		253854	783	class II aldolase/adducin domain-containing protein	203	PA0224.fasta
PA0225		254791	540	transcriptional regulator	141	PA0225.fasta
PA0226		255481	852	CoA transferase subunit A	219	PA0226.fasta
PA0227		256329	783	CoA transferase subunit B	189	PA0227.fasta
PA0228	pcaF	257108	1206	beta-ketoadipyl CoA thiolase	291	PA0228.fasta
PA0229	pcaT	258463	1299	dicarboxylic acid transporter PcaT	305	PA0229.fasta
PA0231	pcaD	261179	792	3-oxoadipate enol-lactonase	238	PA0231.fasta
PA0232	pcaC	261981	402	4-carboxymuconolactone decarboxylase	100	PA0232.fasta
PA0233		262557	942	transcriptional regulator	257	PA0233.fasta
PA0234		263689	834	hypothetical protein	224	PA0234.fasta
PA0235	pcaK	264964	1347	4-hydroxybenzoate transporter PcaK	334	PA0235.fasta
PA0236		266616	780	transcriptional regulator	237	PA0236.fasta
PA0237		267638	1044	oxidoreductase	341	PA0237.fasta
PA0238		268704	816	hypothetical protein	246	PA0238.fasta
PA0239		269669	879	hypothetical protein	233	PA0239.fasta
PA0241		271904	1326	major facilitator superfamily transporter	362	PA0241.fasta
PA0242		273775	1905	hypothetical protein	519	PA0242.fasta
PA0243		275772	669	transcriptional regulator	184	PA0243.fasta
PA0245	aroQ2	277331	447	3-dehydroquinate dehydratase	152	PA0245.fasta
PA0246		277894	1506	major facilitator superfamily transporter	418	PA0246.fasta
PA0247	pobA	279574	1185	4-hydroxybenzoate 3-monooxygenase	317	PA0247.fasta
PA0248		280936	867	transcriptional regulator	286	PA0248.fasta
PA0249		281799	447	acetyltransferase	150	PA0249.fasta
PA0250		282323	435	hypothetical protein	74	PA0250.fasta
PA0252		283818	288	hypothetical protein	105	PA0252.fasta
PA0255		286338	687	hypothetical protein	133	PA0255.fasta
PA0256		287188	933	hypothetical protein	216	PA0256.fasta
PA0265	gabD	299522	1452	glutarate-semialdehyde dehydrogenase DavD	330	PA0265.fasta
PA0266		301218	1281	5-aminovalerate aminotransferase DavT	293	PA0266.fasta
PA0267		302824	1200	hypothetical protein	382	PA0267.fasta
PA0268		304177	1422	transcriptional regulator	344	PA0268.fasta
PA0269		305725	438	hypothetical protein	115	PA0269.fasta
PA0270		306174	408	hypothetical protein	101	PA0270.fasta
PA0271		306615	285	hypothetical protein	56	PA0271.fasta
PA0272		306896	933	transcriptional regulator	278	PA0272.fasta
PA0274		309255	771	hypothetical protein	290	PA0274.fasta
PA0275		310134	687	transcriptional regulator	183	PA0275.fasta
PA0276		310896	516	hypothetical protein	125	PA0276.fasta
PA0280	cysA	313938	990	sulfate.thiosulfate ABC transporter ATP-binding protein CysA	274	PA0280.fasta
PA0281	cysW	314931	870	sulfate transporter CysW	179	PA0281.fasta
PA0282	cysT	315811	819	sulfate transporter CysT	171	PA0282.fasta
PA0283	sbp	316791	999	sulfate-binding protein	252	PA0283.fasta
PA0284		317966	183	hypothetical protein	24	PA0284.fasta
PA0285		318312	2283	hypothetical protein	533	PA0285.fasta
PA0286	desA	320766	1179	delta-9 fatty acid desaturase DesA	220	PA0286.fasta
PA0287	gpuP	322175	1386	3-guanidinopropionate transporter	431	PA0287.fasta
PA0288	gpuA	323616	957	guanidinopropionase	271	PA0288.fasta
PA0290		325700	972	hypothetical protein	238	PA0290.fasta
PA0292	aguA	328801	1107	agmatine deiminase	273	PA0292.fasta
PA0293	aguB	329993	879	N-carbamoylputrescine amidohydrolase	192	PA0293.fasta
PA0294	aguR	331034	666	transcriptional regulator AguR	229	PA0294.fasta
PA0295		331762	1062	polyamine binding protein	264	PA0295.fasta
PA0297	spuA	334734	753	glutamine amidotransferase	146	PA0297.fasta
PA0298	spuB	335527	1359	glutamine synthetase	180	PA0298.fasta
PA0299	spuC	336951	1371	aminotransferase	230	PA0299.fasta
PA0300	spuD	338437	1104	putrescine ABC transporter substrate-binding protein SpuD	228	PA0300.fasta
PA0301	spuE	339959	1098	spermidine ABC transporter substrate-binding protein SpuE	242	PA0301.fasta
PA0302	spuF	341111	1155	polyamine transporter PotG	229	PA0302.fasta
PA0303	spuG	342292	882	polyamine transporter PotH	168	PA0303.fasta
PA0304	spuH	343256	870	polyamine transporter PotI	177	PA0304.fasta
PA0305		344303	2388	hypothetical protein	563	PA0305.fasta
PA0306		346801	1053	transcriptional regulator	234	PA0306.fasta
PA0307		348440	612	hypothetical protein	161	PA0307.fasta
PA0308		349050	1020	hypothetical protein	213	PA0308.fasta
PA0309		350089	753	hypothetical protein	190	PA0309.fasta
PA0310		350890	699	hypothetical protein	172	PA0310.fasta
PA0311		351610	555	hypothetical protein	148	PA0311.fasta
PA0312		352430	495	hypothetical protein	108	PA0312.fasta
PA0313		352927	693	L-cysteine ABC transporter protein YecS	184	PA0313.fasta
PA0314		353691	771	L-cysteine ABC transporter protein FliY	188	PA0314.fasta
PA0315		354754	438	hypothetical protein	69	PA0315.fasta
PA0316	serA	355248	1230	D-3-phosphoglycerate dehydrogenase	202	PA0316.fasta
PA0317		356681	1395	hypothetical protein	307	PA0317.fasta
PA0318		358167	666	hypothetical protein	116	PA0318.fasta
PA0319		358931	990	hypothetical protein	225	PA0319.fasta
PA0320		359982	351	hypothetical protein	88	PA0320.fasta
PA0321		360413	1035	acetylpolyamine aminohydrolase	225	PA0321.fasta
PA0322		361463	1395	transporter	295	PA0322.fasta
PA0323		363278	1044	ABC transporter	207	PA0323.fasta
PA0324		364369	789	ABC transporter permease	206	PA0324.fasta
PA0325		365154	930	ABC transporter permease	236	PA0325.fasta
PA0327		367457	966	hypothetical protein	222	PA0327.fasta
PA0328		368462	1944	hypothetical protein	473	PA0328.fasta
PA0329		370706	333	hypothetical protein	66	PA0329.fasta
PA0330	rpiA	371162	672	ribose-5-phosphate isomerase A	149	PA0330.fasta
PA0331	ilvA1	372091	1515	threonine dehydratase	312	PA0331.fasta
PA0332		373725	468	hypothetical protein	135	PA0332.fasta
PA0335		377239	654	hypothetical protein	184	PA0335.fasta
PA0336	ygdP	378096	480	RNA pyrophosphohydrolase	50	PA0336.fasta
PA0337	ptsP	378598	2280	phosphoenolpyruvate-protein phosphotransferase PtsP	497	PA0337.fasta
PA0338		380903	1131	hypothetical protein	183	PA0338.fasta
PA0340		382914	804	hypothetical protein	159	PA0340.fasta
PA0341	lgt	383727	801	prolipoprotein diacylglyceryl transferase	158	PA0341.fasta
PA0342	thyA	384733	795	thymidylate synthase	177	PA0342.fasta
PA0346		389334	363	hypothetical protein	91	PA0346.fasta
PA0347	glpQ	389733	1152	glycerophosphoryl diester phosphodiesterase	326	PA0347.fasta
PA0349		392185	1041	hypothetical protein	355	PA0349.fasta
PA0350	folA	393308	507	dihydrofolate reductase	118	PA0350.fasta
PA0351		393830	474	hypothetical protein	108	PA0351.fasta
PA0352		394442	1386	transporter	373	PA0352.fasta
PA0353	ilvD	396057	1839	dihydroxy-acid dehydratase	359	PA0353.fasta
PA0354		398224	1197	hypothetical protein	309	PA0354.fasta
PA0355	pfpI	399493	540	protease PfpI	118	PA0355.fasta
PA0356		400248	825	hypothetical protein	138	PA0356.fasta
PA0357	mutM	401131	813	formamidopyrimidine-DNA glycosylase	197	PA0357.fasta
PA0358		402020	579	hypothetical protein	159	PA0358.fasta
PA0359		402681	345	hypothetical protein	60	PA0359.fasta
PA0360		403295	987	hypothetical protein	304	PA0360.fasta
PA0361		404386	1734	gamma-glutamyltranspeptidase	464	PA0361.fasta
PA0362	fdx1	406247	252	4Fe-4S ferredoxin	24	PA0362.fasta
PA0363	coaD	406619	480	phosphopantetheine adenylyltransferase	69	PA0363.fasta
PA0365		408901	549	hypothetical protein	166	PA0365.fasta
PA0366		409504	1431	coniferyl aldehyde dehydrogenase	316	PA0366.fasta
PA0367		411224	648	transcriptional regulator	132	PA0367.fasta
PA0368		412329	999	hypothetical protein	214	PA0368.fasta
PA0370		413933	597	hypothetical protein	138	PA0370.fasta
PA0371		414529	1488	hypothetical protein	398	PA0371.fasta
PA0374	ftsE	418891	672	cell division protein FtsE	152	PA0374.fasta
PA0375	ftsX	419562	1008	cell division protein FtsX	285	PA0375.fasta
PA0376	rpoH	420683	855	RNA polymerase sigma factor RpoH	148	PA0376.fasta
PA0377		421602	606	hypothetical protein	185	PA0377.fasta
PA0378		422212	732	monofunctional biosynthetic peptidoglycan transglycosylase	142	PA0378.fasta
PA0379		422980	378	hypothetical protein	106	PA0379.fasta
PA0380		423460	201	sulfur carrier protein ThiS	35	PA0380.fasta
PA0381	thiG	423719	798	thiazole synthase	187	PA0381.fasta
PA0382	micA	424670	672	tRNA (guanine-N(7)-)-methyltransferase	210	PA0382.fasta
PA0383		425504	1347	hypothetical protein	321	PA0383.fasta
PA0384		426863	258	hypothetical protein	59	PA0384.fasta
PA0385		427182	324	hypothetical protein	67	PA0385.fasta
PA0388		429451	420	hypothetical protein	106	PA0388.fasta
PA0389		430002	621	hypothetical protein	133	PA0389.fasta
PA0390	metX	430630	1140	homoserine O-acetyltransferase	277	PA0390.fasta
PA0391		431858	1968	hypothetical protein	495	PA0391.fasta
PA0392		434226	594	hypothetical protein	126	PA0392.fasta
PA0393	proC	434830	822	pyrroline-5-carboxylate reductase	207	PA0393.fasta
PA0394		435663	693	hypothetical protein	133	PA0394.fasta
PA0395	pilT	436570	1035	twitching motility protein PilT	188	PA0395.fasta
PA0396	pilU	437782	1149	twitching motility protein PilU	204	PA0396.fasta
PA0397		438938	900	cation efflux system protein	222	PA0397.fasta
PA0398		439991	405	hypothetical protein	79	PA0398.fasta
PA0399		440638	1374	cystathionine beta-synthase	401	PA0399.fasta
PA0400		442008	1185	cystathionine gamma-lyase	354	PA0400.fasta
PA0401		443419	1272	dihydroorotase	400	PA0401.fasta
PA0402	pyrB	444687	1005	aspartate carbamoyltransferase	244	PA0402.fasta
PA0403	pyrR	445715	513	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase	133	PA0403.fasta
PA0404		446339	435	Holliday junction resolvase	97	PA0404.fasta
PA0405		446773	570	hypothetical protein	148	PA0405.fasta
PA0406	tonB3	447391	960	transporter TonB	211	PA0406.fasta
PA0408	pilG	449639	408	pilus biosynthesis/twitching motility protein PilG	61	PA0408.fasta
PA0409	pilH	450093	366	twitching motility protein PilH	90	PA0409.fasta
PA0410	pilI	450509	537	twitching motility protein PilI	87	PA0410.fasta
PA0411	pilJ	451130	2049	twitching motility protein PilJ	485	PA0411.fasta
PA0412	pilK	453239	876	methyltransferase PilK	204	PA0412.fasta
PA0415	chpC	462565	507	chemotaxis protein	144	PA0415.fasta
PA0416	chpD	463079	795	transcriptional regulator	248	PA0416.fasta
PA0417	chpE	463949	612	chemotactic transduction protein ChpE	194	PA0417.fasta
PA0419		466018	723	16S ribosomal RNA methyltransferase RsmE	246	PA0419.fasta
PA0420	bioA	466833	1404	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA	308	PA0420.fasta
PA0421		468410	1491	hypothetical protein	379	PA0421.fasta
PA0422		470081	570	hypothetical protein	158	PA0422.fasta
PA0423	pasP	470662	576	hypothetical protein	92	PA0423.fasta
PA0425	mexA	472024	1152	multidrug resistance protein MexA	303	PA0425.fasta
PA0427	oprM	476333	1458	outer membrane protein OprM	335	PA0427.fasta
PA0429		480056	1071	hypothetical protein	262	PA0429.fasta
PA0430	metF	481196	873	5,10-methylenetetrahydrofolate reductase	184	PA0430.fasta
PA0431		482111	555	hypothetical protein	121	PA0431.fasta
PA0432	sahH	482706	1410	adenosylhomocysteinase	280	PA0432.fasta
PA0433		484404	435	hypothetical protein	125	PA0433.fasta
PA0434		484964	2193	hypothetical protein	549	PA0434.fasta
PA0435		487167	1479	hypothetical protein	415	PA0435.fasta
PA0436		488730	621	transcriptional regulator	116	PA0436.fasta
PA0437	codA	489387	1272	cytosine deaminase	321	PA0437.fasta
PA0440		493354	1368	oxidoreductase	396	PA0440.fasta
PA0441	dht	494816	1440	D-hydantoinase/dihydropyrimidinase	317	PA0441.fasta
PA0442		496362	117	hypothetical protein	89	PA0442.fasta
PA0443		496871	1491	transporter	362	PA0443.fasta
PA0444		498420	1284	allantoate amidohydrolase	297	PA0444.fasta
PA0446		501376	1224	hypothetical protein	314	PA0446.fasta
PA0447	gcdH	502719	1182	glutaryl-CoA dehydrogenase	220	PA0447.fasta
PA0448		504121	909	transcriptional regulator	225	PA0448.fasta
PA0450		505629	1623	phosphate transporter	475	PA0450.fasta
PA0452		508959	795	hypothetical protein	230	PA0452.fasta
PA0451a		509861	732	amino acid ABC transporter substrate-binding protein	221	PA0451a.fasta
PA0454		510589	2202	hypothetical protein	509	PA0454.fasta
PA0455	dbpA	513051	1377	ATP-dependent RNA helicase DbpA	363	PA0455.fasta
PA0456		514775	210	cold-shock protein	18	PA0456.fasta
PA0457		515135	525	hypothetical protein	139	PA0457.fasta
PA0458		516029	1434	major facilitator superfamily transporter	331	PA0458.fasta
PA0459		518083	2553	chaperone protein ClpB	567	PA0459.fasta
PA0460		520737	579	hypothetical protein	162	PA0460.fasta
PA0461		521630	888	acyltransferase	229	PA0461.fasta
PA0462		522660	510	hypothetical protein	105	PA0462.fasta
PA0463	creB	523254	690	DNA-binding response regulator CreB	207	PA0463.fasta
PA0464	creC	523943	1425	sensory histidine kinase CreC	401	PA0464.fasta
PA0465	creD	525469	1359	hypothetical protein	409	PA0465.fasta
PA0466		526877	303	hypothetical protein	91	PA0466.fasta
PA0467		527324	621	hypothetical protein	185	PA0467.fasta
PA0468		527963	951	hypothetical protein	290	PA0468.fasta
PA0469		528999	858	hypothetical protein	226	PA0469.fasta
PA0471		532541	972	transmembrane sensor	295	PA0471.fasta
PA0472		533509	519	RNA polymerase sigma factor	135	PA0472.fasta
PA0474		535085	405	esterase	123	PA0474.fasta
PA0475		535539	570	transcriptional regulator	156	PA0475.fasta
PA0476		536142	1728	permease	466	PA0476.fasta
PA0477		538217	927	transcriptional regulator	341	PA0477.fasta
PA0478		539231	477	N-acetyltransferase	177	PA0478.fasta
PA0482	glcB	542170	2178	malate synthase G	413	PA0482.fasta
PA0483		544654	444	acetyltransferase	136	PA0483.fasta
PA0484		545129	516	hypothetical protein	147	PA0484.fasta
PA0485		546334	897	hypothetical protein	230	PA0485.fasta
PA0486		547432	975	serine/threonine protein kinase	247	PA0486.fasta
PA0487		548468	759	molybdenum transport regulator	225	PA0487.fasta
PA0488		549294	321	hypothetical protein	123	PA0488.fasta
PA0490		550520	294	hypothetical protein	52	PA0490.fasta
PA0491		550867	927	transcriptional regulator	222	PA0491.fasta
PA0492		551911	759	hypothetical protein	197	PA0492.fasta
PA0493		552746	249	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	66	PA0493.fasta
PA0494		553005	1377	acetyl-CoA carboxylase biotin carboxylase subunit	362	PA0494.fasta
PA0500	bioB	559644	1059	biotin synthase	265	PA0500.fasta
PA0501	bioF	560808	1206	8-amino-7-oxononanoate synthase	337	PA0501.fasta
PA0503		562721	825	biotin synthesis protein BioC	263	PA0503.fasta
PA0504	bioD	563549	687	ATP-dependent dethiobiotin synthetase BioD	234	PA0504.fasta
PA0505		564344	231	hypothetical protein	78	PA0505.fasta
PA0506		564914	1806	acyl-CoA dehydrogenase	450	PA0506.fasta
PA0507		566932	1797	acyl-CoA dehydrogenase	417	PA0507.fasta
PA0508		569002	1779	acyl-CoA dehydrogenase	442	PA0508.fasta
PA0511	nirJ	573433	1164	heme d1 biosynthesis protein NirJ	270	PA0511.fasta
PA0514	nirL	575516	525	heme d1 biosynthesis protein NirL	151	PA0514.fasta
PA0515		576037	453	heme d1 biosynthesis protein NirD	127	PA0515.fasta
PA0516	nirF	576498	1179	heme d1 biosynthesis protein NirF	296	PA0516.fasta
PA0517	nirC	577673	360	cytochrome c55X	101	PA0517.fasta
PA0518	nirM	578029	315	cytochrome C-551	48	PA0518.fasta
PA0519	nirS	578394	1707	nitrite reductase	377	PA0519.fasta
PA0520	nirQ	580316	783	denitrification regulatory protein NirQ	209	PA0520.fasta
PA0521		581133	528	cytochrome C oxidase subunit	133	PA0521.fasta
PA0522		581668	258	hypothetical protein	105	PA0522.fasta
PA0523	norC	582015	441	nitric oxide reductase subunit C	107	PA0523.fasta
PA0524	norB	582455	1401	nitric oxide reductase subunit B	302	PA0524.fasta
PA0526		585702	195	hypothetical protein	67	PA0526.fasta
PA0527	dnr	585980	684	transcriptional regulator Dnr	219	PA0527.fasta
PA0528		587017	879	transcriptional regulator	243	PA0528.fasta
PA0529		587997	702	hypothetical protein	193	PA0529.fasta
PA0530		588924	1182	class III pyridoxal phosphate-dependent aminotransferase	382	PA0530.fasta
PA0531		590105	717	glutamine amidotransferase	208	PA0531.fasta
PA0532		590896	507	hypothetical protein	89	PA0532.fasta
PA0533		591445	1491	transcriptional regulator	462	PA0533.fasta
PA0534		593273	1290	hypothetical protein	342	PA0534.fasta
PA0535		594580	555	transcriptional regulator	143	PA0535.fasta
PA0536		595245	1026	hypothetical protein	353	PA0536.fasta
PA0537		596274	609	hypothetical protein	112	PA0537.fasta
PA0538	dsbB	596970	510	disulfide bond formation protein	160	PA0538.fasta
PA0539		597708	831	hypothetical protein	256	PA0539.fasta
PA0540		598608	387	hypothetical protein	80	PA0540.fasta
PA0541		599107	459	hypothetical protein	112	PA0541.fasta
PA0542		599757	420	hypothetical protein	123	PA0542.fasta
PA0544		601398	744	hypothetical protein	249	PA0544.fasta
PA0545		602346	1305	hypothetical protein	379	PA0545.fasta
PA0546	metK	603706	1191	S-adenosylmethionine synthetase	225	PA0546.fasta
PA0547		604912	1002	transcriptional regulator	150	PA0547.fasta
PA0548	tktA	606160	1998	transketolase	424	PA0548.fasta
