Locus	GCF_020616775	GCF_018517125	B537	GCF_013344625	GCF_011193375	GCF_000550745	GCF_906464895	GCF_017280035	GCF_000007785	GCF_017639585	GCF_006494835	GCF_004332015	GCF_001689055	GCF_006766145	GCF_003345275	GCF_906464915	GCF_003030425	GCF_001989555	GCF_003966385	GCF_006494875	GCF_002163735	GCF_005158025	GCF_010103655	GCF_009498175	GCF_009662495	GCF_013344645	GCF_019222705	GCF_001598635	GCF_004332035	GCF_002355755	GCF_003812665	GCF_005979285	GCF_000317915	GCF_002208945	GCF_020616875	GCF_015377745	GCF_000172575	GCF_906464925	GCF_019774535	GCF_906464875	GCF_016743895	GCF_902379005	GCF_901553725	GCF_006364815	GCF_002289045	GCF_000281195	GCF_000391485	GCF_000742975	GCF_019856595	GCF_013344605	GCF_012594215	GCF_014844235	GCF_020616935	GCF_017280235	GCF_006349345	GCF_005484525	GCF_016812095	GCF_003966405	GCF_002814115	GCF_900636775	GCF_906464865	GCF_906464835	GCF_005979305	GCF_013344665	GCF_006494855	GCF_014489455	GCF_018986755	GCF_019195415	GCF_017357805
OG1RFRS00070	58	25	11	193	23	14	20	8	7	89	7	35	12	23	40	14	14	40	15	7	2	19	8	42	21	193	6	55	76	96	40	30	17	14	19	0	1	59	44	8	44	17	14	11	12	12	7	19	23	11	8	31	14	8	8	18	8	15	36	14	30	58	71	2	7	9	40	20	35
OG1RFRS00075	48	10	10	7	28	1	8	8	7	66	7	27	5	34	30	1	1	30	12	7	2	7	8	10	17	7	0	14	58	71	30	24	14	1	7	12	1	8	32	8	32	14	1	10	5	5	7	7	28	10	8	149	1	8	8	16	8	12	28	1	24	48	54	2	7	9	30	8	27
OG1RFRS00080	62	20	1	7	1	13	10	8	7	76	7	31	11	20	35	13	13	35	14	7	51	6	8	16	18	7	0	16	66	82	35	18	16	13	6	28	1	1	1	8	1	16	13	1	11	11	7	25	1	1	8	26	0	8	8	3	8	14	32	29	18	62	11	51	7	9	35	10	1
OG1RFRS00085	79	37	11	7	50	1	10	8	7	4	7	34	12	21	40	1	1	40	5	7	2	18	8	45	19	7	0	16	81	101	40	27	16	1	18	0	1	65	47	8	47	16	1	11	12	12	7	7	50	11	8	28	14	8	8	0	8	5	35	1	27	79	77	2	7	9	40	10	86
OG1RFRS00090	102	47	15	39	7	17	10	8	7	128	7	10	25	27	50	17	16	50	19	7	87	23	8	83	24	39	23	38	154	142	50	35	38	17	23	0	1	80	60	8	60	38	17	15	25	25	7	39	7	11	8	343	0	8	8	52	8	19	44	17	35	102	100	86	7	61	50	10	0
OG1RFRS00095	21	2	5	2	17	2	5	2	5	5	5	5	7	12	5	2	2	5	4	5	2	3	2	16	11	2	3	7	5	5	5	5	7	2	3	1	1	4	2	2	2	7	2	5	7	7	5	2	17	5	2	3	5	2	2	10	2	4	5	2	5	21	7	2	5	6	5	5	4
OG1RFRS00100	38	1	1	6	1	6	5	5	1	2	1	5	4	10	1	6	6	1	21	1	29	6	5	1	9	6	1	8	4	17	1	4	8	6	6	6	1	5	1	5	1	8	6	1	4	4	1	6	1	1	5	1	1	5	5	3	5	21	17	6	4	38	35	2	1	2	1	5	20
OG1RFRS00105	22	13	1	25	1	2	1	5	1	1	1	1	7	2	2	2	2	2	1	1	1	10	5	14	1	25	0	1	2	31	2	2	1	2	10	1	1	3	8	5	8	1	2	1	7	7	1	2	1	1	5	28	1	5	5	1	5	1	12	2	2	22	16	1	1	6	2	1	1
OG1RFRS00110	52	28	4	4	7	4	8	5	7	16	7	8	9	18	29	4	4	29	6	7	2	15	5	0	16	4	9	13	20	13	29	22	13	4	0	24	1	44	33	5	33	13	4	4	9	9	7	4	7	4	5	61	8	5	5	3	5	6	26	4	22	52	50	2	7	7	29	8	6
OG1RFRS00115	1	1	1	1	1	1	1	1	1	1	1	1	9	5	1	1	1	1	1	1	1	5	1	1	1	1	1	4	1	1	1	1	1	1	5	2	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG1RFRS00120	15	18	1	1	5	1	1	1	5	3	5	1	7	1	1	1	9	1	1	5	2	1	1	1	13	1	41	11	3	34	1	3	11	1	1	1	1	14	20	1	20	11	1	1	7	7	5	1	5	74	1	32	1	1	1	19	1	1	1	1	3	15	1	2	5	6	1	1	20
OG1RFRS00125	1	1	1	1	2	1	1	1	2	2	2	1	1	1	7	1	1	7	1	2	2	1	1	4	2	1	1	2	2	2	7	2	2	1	1	1	1	4	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	2	7	1	1
OG1RFRS00130	54	76	11	11	7	13	10	8	7	26	7	15	12	22	29	13	13	29	15	7	2	19	8	38	20	11	17	17	0	82	29	31	17	13	19	29	1	50	26	8	26	17	13	11	12	12	7	11	7	11	8	79	10	8	8	36	8	15	32	13	31	54	64	2	7	9	29	10	49
OG1RFRS00140	92	39	11	11	105	14	10	8	7	29	7	34	12	191	42	14	14	42	16	7	2	20	8	48	21	11	16	68	29	91	42	54	18	14	20	32	1	74	57	8	57	18	14	11	120	12	7	11	105	11	8	110	15	8	8	76	8	16	35	14	54	92	30	2	7	9	42	10	5
OG1RFRS00145	33	4	4	14	4	7	4	4	2	2	2	2	4	4	17	7	7	17	8	2	2	2	4	14	2	14	0	3	2	4	17	2	3	7	2	3	1	27	20	4	20	3	7	4	4	4	2	14	4	4	4	4	7	4	4	11	4	8	16	7	2	33	3	2	2	5	17	4	3
OG1RFRS00150	93	118	10	31	322	13	9	7	6	0	6	36	11	22	0	13	13	0	15	6	74	19	7	43	20	31	0	17	99	139	40	156	17	13	19	0	1	68	45	7	45	17	13	10	11	11	6	31	48	10	7	127	86	7	7	50	7	15	37	13	49	93	91	67	6	8	40	9	136
OG1RFRS00160	108	129	57	14	59	14	10	8	7	133	7	38	77	24	45	14	14	45	16	7	85	20	8	51	53	14	0	18	111	149	45	32	18	14	20	0	1	80	54	8	54	18	14	57	163	12	7	14	59	11	8	336	100	8	8	78	8	16	39	14	32	108	106	85	7	9	0	21	117
OG1RFRS00170	55	75	10	1	43	1	9	52	2	41	2	17	57	20	34	1	1	34	13	2	2	17	7	38	18	1	3	15	66	82	34	25	15	1	17	15	1	41	44	7	44	15	1	10	11	11	2	1	43	10	7	77	10	52	7	24	52	13	29	1	25	55	41	2	2	8	34	9	54
OG1RFRS00175	45	67	3	1	15	1	9	7	2	35	2	26	10	18	28	1	1	28	12	2	2	15	7	33	16	1	60	3	35	70	28	22	3	1	15	24	1	47	37	7	37	3	1	3	10	10	2	1	15	3	7	69	3	7	7	21	7	12	27	1	22	45	35	2	2	8	28	9	13
OG1RFRS00180	69	36	10	1	38	1	9	7	14	11	14	32	11	151	39	1	1	39	16	14	2	20	7	41	21	1	5	18	72	91	39	28	18	1	20	1	1	56	43	7	43	18	1	10	11	11	14	1	38	10	7	84	15	7	7	27	7	16	34	1	28	69	99	2	14	8	39	9	89
OG1RFRS00185	92	37	129	251	241	12	9	7	2	85	2	61	69	21	41	12	12	41	14	2	2	18	7	45	19	251	0	36	94	112	127	27	36	12	18	31	1	71	52	7	52	36	12	129	11	11	2	12	50	10	7	112	84	7	7	26	7	14	35	12	0	92	90	2	2	8	41	9	117
OG1RFRS00195	4	18	3	6	2	6	6	2	2	2	2	1	3	12	2	6	6	2	8	2	2	3	2	3	10	6	0	2	37	50	2	2	2	6	3	3	1	2	22	2	22	2	6	3	3	3	2	6	2	3	2	46	34	2	2	16	2	8	4	6	2	4	54	2	2	10	2	6	1
OG1RFRS00200	87	37	10	29	49	13	9	7	2	31	2	33	11	21	112	13	13	40	15	2	2	113	7	44	19	29	0	35	89	102	40	28	11	13	18	31	1	72	46	7	46	11	13	10	11	11	2	29	49	10	7	99	81	7	7	73	7	15	34	13	28	87	85	2	2	8	124	9	94
OG1RFRS00205	68	37	10	29	45	13	9	7	2	64	2	34	11	22	40	13	13	40	15	2	2	19	7	32	20	29	10	17	71	82	40	27	17	13	19	32	1	58	32	7	32	17	13	10	11	11	2	28	45	10	7	78	39	7	7	3	7	15	35	13	27	68	66	2	2	8	40	9	73
OG1RFRS00210	42	5	23	9	5	10	5	5	2	38	2	1	30	14	5	10	10	5	5	2	2	12	5	5	2	9	10	10	42	32	5	2	10	10	12	5	1	32	22	5	22	10	10	23	9	9	2	9	5	8	5	32	9	5	5	31	5	5	2	10	2	42	40	2	2	7	5	5	5
OG1RFRS00215	68	33	10	15	11	13	9	7	2	64	2	32	11	151	35	13	13	35	15	2	2	11	7	40	19	15	15	17	72	83	35	27	17	13	11	30	1	56	11	7	11	17	13	10	11	11	2	15	11	10	7	77	0	7	7	55	7	15	12	13	27	68	6	2	2	8	35	9	40
OG1RFRS13235	2	1	2	2	8	1	1	3	2	2	2	3	0	6	7	1	1	7	2	2	2	1	3	1	4	2	7	2	1	3	7	2	2	1	1	1	1	2	2	3	2	2	1	2	2	2	2	2	8	2	3	3	1	3	3	3	3	2	4	1	2	2	1	2	2	4	7	1	1
OG1RFRS00225	84	40	11	14	52	14	10	8	41	79	41	8	12	23	43	14	0	43	16	41	7	20	8	191	21	14	52	18	79	83	43	31	32	14	20	0	1	67	49	8	49	32	14	11	12	12	7	39	52	11	8	101	14	8	8	19	8	16	37	14	31	84	82	7	41	9	0	10	42
OG1RFRS00235	69	32	11	14	2	14	10	8	33	2	33	8	12	2	25	14	14	25	15	33	2	43	8	34	20	14	0	17	2	58	25	11	17	14	43	0	1	58	16	8	16	17	14	11	12	12	33	14	2	11	8	58	14	8	8	59	8	15	30	14	11	69	67	2	33	9	25	10	53
OG1RFRS00240	4	1	7	4	2	4	6	4	2	2	2	4	4	2	4	4	4	4	9	2	2	6	4	2	12	4	74	1	2	4	4	7	1	4	6	13	1	4	22	4	22	1	4	7	4	4	2	4	2	7	4	38	4	4	4	9	4	9	12	4	7	4	1	2	2	5	4	6	6
OG1RFRS00245	11	15	8	11	11	11	5	5	2	2	2	5	38	94	11	11	11	11	11	2	2	14	5	14	15	11	9	11	2	61	11	8	11	11	14	8	1	40	11	5	11	11	11	8	9	9	2	11	11	8	5	61	11	5	5	33	5	11	24	11	8	11	49	2	2	7	11	5	0
OG1RFRS00250	4	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1
OG1RFRS00255	17	6	10	10	33	10	9	5	7	2	7	29	18	20	33	10	10	33	10	7	2	16	5	36	17	10	107	14	62	76	33	39	14	10	16	5	1	33	40	5	40	14	10	10	18	18	7	10	33	10	5	38	10	5	5	3	5	10	30	10	39	17	13	2	7	8	33	9	5
OG1RFRS00260	78	35	11	7	46	7	10	8	7	2	7	52	12	21	38	7	7	38	14	7	2	18	8	41	19	7	0	16	83	101	38	27	16	7	18	0	1	61	47	8	47	16	7	11	12	12	7	7	46	11	8	45	0	8	164	64	8	14	33	7	27	78	76	2	7	9	38	10	11
OG1RFRS00265	30	31	9	1	8	1	8	5	1	0	1	28	12	18	14	1	1	14	12	1	2	16	5	31	17	1	31	14	62	77	14	24	14	1	16	0	1	31	37	5	37	14	1	9	10	12	1	1	8	9	5	39	56	5	5	2	5	12	29	1	24	30	58	2	1	22	14	8	66
OG1RFRS00270	65	33	10	75	42	1	9	7	1	76	1	30	11	19	28	1	1	28	12	1	2	16	7	53	17	75	0	14	67	81	28	24	14	1	16	28	1	52	43	7	43	14	1	10	11	11	1	25	42	10	7	41	1	7	7	54	7	12	31	1	24	65	63	2	1	8	28	9	10
OG1RFRS00275	14	27	9	1	17	1	8	5	1	20	1	9	10	10	11	1	1	11	12	1	2	16	5	29	17	1	30	14	20	54	11	9	14	33	16	23	1	42	31	5	31	14	1	9	10	10	1	1	17	9	5	18	0	5	5	19	5	12	61	1	9	14	50	2	1	7	11	8	30
OG1RFRS00280	69	89	10	10	39	10	9	5	7	90	7	28	53	20	3	10	10	3	13	7	2	17	5	58	18	10	0	15	106	68	3	10	15	10	17	0	1	56	20	5	20	15	10	10	105	11	7	10	39	10	5	38	10	5	5	59	5	13	29	10	10	69	48	2	7	8	3	9	74
OG1RFRS00290	81	34	11	7	45	7	10	8	7	108	7	32	12	22	37	7	13	37	16	7	2	44	8	66	20	7	268	18	88	121	37	46	18	7	44	30	1	65	42	8	42	18	7	11	12	12	7	7	45	11	8	261	76	8	8	27	8	16	33	7	26	81	43	2	7	9	37	10	62
OG1RFRS00295	2	13	1	1	15	1	1	1	1	2	1	2	1	10	1	1	1	1	3	1	2	2	1	5	8	1	3	7	7	1	1	12	7	1	2	2	1	14	1	1	1	7	1	1	24	1	1	1	15	1	1	11	3	1	1	3	1	3	5	1	12	2	1	2	1	5	1	1	19
OG1RFRS00305	2	25	1	20	1	10	7	5	2	62	2	5	8	16	2	10	10	2	11	2	2	2	5	30	14	20	94	2	17	66	2	1	2	10	2	2	1	44	31	5	31	2	10	1	8	8	2	20	1	1	5	64	2	5	5	19	5	11	23	10	1	2	2	46	2	6	2	7	38
OG1RFRS00310	46	77	9	24	47	12	8	5	4	81	4	30	10	78	36	0	12	36	13	4	2	46	5	41	18	24	0	15	2	86	36	9	15	12	46	70	1	13	48	5	48	15	12	9	10	10	4	24	47	9	5	83	4	5	5	0	5	13	31	12	9	46	70	2	4	7	36	8	34
OG1RFRS00320	6	19	1	19	0	11	9	5	7	75	7	23	50	6	28	11	11	28	6	7	52	6	5	32	16	19	11	13	52	85	28	1	13	11	6	0	1	6	23	5	23	13	11	1	6	6	7	19	0	1	5	76	0	5	5	139	5	6	24	11	1	6	21	52	7	8	28	9	0
OG1RFRS00325	54	31	10	31	56	24	9	5	7	126	7	38	73	270	44	24	12	44	15	7	0	54	5	268	19	31	117	16	105	139	44	30	16	24	54	0	1	76	57	0	57	16	24	10	0	33	7	31	56	10	5	353	24	5	152	269	5	15	39	24	30	54	137	2	7	8	44	9	0
OG1RFRS00335	5	5	5	5	7	5	1	4	1	40	1	7	7	8	5	5	5	5	5	1	2	5	4	8	10	5	1	5	1	5	5	15	5	5	5	5	1	1	1	4	1	5	5	5	7	7	1	5	7	5	4	1	5	4	4	7	4	5	8	5	15	5	33	2	1	6	5	1	37
OG1RFRS00345	2	14	42	14	140	8	7	5	2	82	2	29	9	18	35	8	11	35	7	2	2	2	5	38	16	14	0	14	8	89	35	24	14	8	2	5	1	7	40	70	40	14	8	42	9	9	2	14	140	8	5	83	8	5	5	20	5	7	30	8	24	2	68	39	2	6	35	7	74
OG1RFRS00350	6	19	9	57	8	9	8	5	2	8	2	6	10	17	6	9	9	6	12	98	2	6	5	29	16	57	10	14	5	9	6	23	14	9	6	26	1	8	30	5	30	14	9	9	10	10	2	19	8	9	5	45	9	5	5	39	5	12	27	9	23	6	49	41	98	7	6	8	10
OG1RFRS00355	5	9	5	9	5	5	5	5	2	1	2	5	5	5	5	5	5	5	5	2	2	5	5	5	1	9	5	1	1	5	5	8	1	5	5	1	1	1	5	5	5	1	5	5	5	5	2	9	5	5	5	5	5	5	5	5	5	5	6	5	8	5	14	14	2	6	5	5	1
OG1RFRS00360	2	17	8	17	7	8	7	5	2	47	2	2	2	10	54	8	9	5	7	2	2	2	5	23	5	17	78	4	36	50	5	16	4	30	2	10	1	31	26	5	26	4	8	8	2	2	2	17	7	8	5	6	8	5	5	16	5	7	19	8	16	2	20	37	2	6	5	7	10
OG1RFRS00365	6	5	5	5	1	5	1	5	7	46	7	6	6	13	5	5	5	5	1	7	2	6	5	6	12	5	4	4	16	49	5	16	4	5	6	5	1	29	4	5	4	4	5	5	6	6	7	5	1	5	5	11	5	5	5	15	5	1	19	5	16	6	35	5	7	14	5	1	13
OG1RFRS00370	1	26	4	4	1	4	1	3	2	1	2	1	18	42	3	4	4	3	1	2	2	1	3	1	4	4	2	5	8	1	3	8	5	4	1	3	1	11	4	3	4	5	4	4	1	1	2	4	1	4	3	1	4	3	3	1	3	1	1	4	8	1	2	4	2	2	3	1	11
OG1RFRS00400	5	2	9	2	41	1	8	6	2	81	2	29	10	18	82	1	1	32	9	2	2	5	6	35	16	2	0	14	71	86	32	17	14	1	5	27	1	54	9	6	9	14	1	9	10	10	2	2	41	9	6	39	62	6	6	19	6	9	30	1	17	5	67	2	2	7	32	8	58
OG1RFRS00405	1	1	1	1	7	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	7	1	1	1	1	1	1	1	10	1	1	1	1	1	1	1	1	1	1	7	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG1RFRS00415	48	31	11	31	49	15	10	8	7	0	7	37	12	23	40	15	14	40	17	7	2	48	8	45	20	31	40	18	83	105	40	50	18	15	0	0	1	62	14	8	14	18	15	11	113	21	7	31	49	11	8	98	76	8	8	64	8	17	38	11	50	48	0	66	7	9	40	10	40
OG1RFRS00425	20	31	12	51	48	14	9	7	2	92	2	24	22	169	39	14	13	39	16	2	2	20	7	43	21	51	0	18	2	98	39	49	18	14	20	0	1	65	50	7	50	18	14	12	11	22	2	31	48	12	7	47	1	7	0	64	7	16	36	12	49	20	78	2	2	28	39	66	87
OG1RFRS00435	2	2	1	2	2	7	6	1	4	0	4	2	2	0	2	7	2	2	8	4	2	2	1	17	10	2	1	1	2	2	2	10	1	7	2	2	1	1	2	1	2	1	7	1	2	2	4	2	2	1	1	14	1	1	1	3	1	8	15	1	10	2	2	2	4	5	2	6	2
OG1RFRS00445	16	25	10	25	42	1	9	7	2	85	2	7	11	20	33	30	12	33	13	2	2	16	7	60	17	25	9	13	13	41	33	13	64	1	16	6	1	58	48	7	48	64	30	10	11	11	2	25	42	10	7	189	5	7	7	56	7	13	31	1	13	16	5	2	2	8	102	9	6
OG1RFRS00450	38	22	36	22	8	1	8	23	2	79	2	6	8	111	1	80	9	1	9	2	2	38	6	6	14	22	8	12	64	11	1	21	12	1	38	2	1	53	9	6	9	12	1	36	8	8	2	22	8	2	6	37	2	23	6	52	23	9	27	1	21	38	62	2	2	7	1	8	70
OG1RFRS00455	1	1	1	1	1	1	1	6	2	1	2	6	1	1	9	41	1	9	8	2	2	1	6	6	1	1	1	1	1	1	9	1	0	1	1	13	1	5	0	6	0	0	1	1	1	1	2	1	1	1	6	13	1	6	6	1	6	8	15	1	1	1	1	90	2	7	9	1	8
OG1RFRS00460	5	23	7	23	23	6	9	7	2	0	2	7	16	18	32	6	10	32	11	2	2	5	174	35	15	23	7	24	6	93	32	6	24	6	5	26	1	54	40	7	40	24	6	7	36	16	2	23	23	7	7	39	7	7	7	55	7	11	30	6	6	5	1	2	2	8	0	9	49
OG1RFRS00465	2	14	10	14	14	6	9	7	2	69	2	7	11	18	27	6	12	27	9	2	2	2	7	29	17	14	13	15	21	57	27	21	15	6	2	23	1	44	12	7	12	15	6	10	11	11	2	14	14	10	7	62	13	7	7	16	7	9	12	6	21	2	56	2	2	8	27	9	48
OG1RFRS00470	18	27	10	27	32	6	19	7	2	77	2	7	11	22	33	6	12	33	14	2	2	18	7	7	36	27	1	16	26	31	33	26	16	6	18	29	1	54	12	7	12	16	6	10	11	37	2	27	32	10	7	40	1	7	7	55	7	14	31	6	26	18	67	2	2	8	33	19	22
OG1RFRS00475	50	21	10	21	51	6	9	58	2	104	2	45	11	22	41	6	13	41	15	2	2	50	7	45	20	21	0	17	121	110	41	31	17	6	50	33	1	247	13	7	13	17	6	10	11	11	2	21	51	10	7	49	1	58	7	70	58	15	36	6	31	50	84	2	2	8	41	9	33
OG1RFRS00480	17	94	1	27	46	6	8	6	1	0	1	6	9	19	38	6	11	38	13	1	1	17	6	6	6	27	1	15	82	78	38	26	28	6	17	37	1	61	11	6	11	28	6	1	9	9	1	27	46	1	6	97	72	6	6	59	6	13	34	6	26	17	76	1	1	7	38	62	103
OG1RFRS00485	5	1	1	1	2	2	1	2	1	1	1	2	1	1	1	2	1	1	5	1	1	5	2	2	1	1	1	1	5	6	1	1	1	2	5	1	1	5	1	2	1	1	2	1	1	1	1	1	2	1	2	1	2	2	2	6	2	5	6	2	1	5	1	1	1	3	1	1	1
OG1RFRS00490	11	10	1	10	1	5	4	6	1	0	1	6	8	16	3	5	9	3	11	1	2	11	6	6	14	10	1	11	31	3	3	18	11	5	11	0	1	1	9	6	9	11	5	1	8	8	1	10	1	1	6	42	5	6	6	1	6	11	21	5	18	11	35	2	1	7	3	4	11
OG1RFRS00495	11	24	8	24	43	4	6	6	2	107	2	30	9	18	34	4	11	34	11	2	2	11	6	30	16	24	0	14	4	67	34	23	14	4	11	28	1	55	11	6	11	14	4	8	9	9	2	24	43	8	6	165	4	6	6	59	6	11	31	4	23	11	66	2	2	7	34	6	0
OG1RFRS00500	15	23	1	23	3	13	9	7	2	8	2	5	19	21	33	13	12	33	15	2	2	15	7	5	18	23	18	17	71	67	33	26	17	13	15	29	1	53	12	7	12	17	13	1	10	19	2	23	3	1	7	33	13	7	7	55	7	15	26	13	26	15	66	2	2	8	33	9	3
OG1RFRS00505	16	6	10	6	15	14	9	7	2	64	2	18	11	21	10	14	13	10	16	2	2	16	7	18	14	6	0	18	58	56	10	25	18	14	16	28	1	49	40	7	40	18	14	10	11	11	2	6	15	10	7	141	14	7	7	116	7	16	26	14	25	16	2	2	2	8	10	9	15
OG1RFRS00510	15	18	9	18	35	12	8	6	1	60	1	17	10	19	27	12	12	27	15	1	1	15	6	17	9	18	77	17	57	3	68	23	17	12	15	8	1	45	32	6	32	17	12	9	10	10	1	18	35	9	6	104	12	6	6	21	6	15	27	12	23	15	53	103	1	7	27	89	14
OG1RFRS00515	12	25	10	25	9	11	9	7	2	0	2	29	9	17	35	11	11	35	12	2	2	12	7	9	15	25	0	12	67	64	35	23	12	11	12	27	1	54	40	7	40	12	11	10	9	16	34	24	9	10	7	187	0	7	7	21	7	12	30	11	23	12	63	2	2	8	35	9	9
OG1RFRS00525	1	1	3	1	3	3	1	1	2	8	2	1	3	6	1	3	3	1	1	2	2	1	1	3	1	1	1	3	16	1	1	9	3	3	1	3	1	3	3	1	3	3	3	3	3	14	2	1	3	3	1	10	41	1	1	16	1	1	10	3	9	1	1	2	2	2	1	1	3
OG1RFRS00535	19	30	40	122	56	13	9	7	42	23	42	38	11	24	45	13	0	45	57	42	2	151	7	49	53	122	0	31	102	98	150	29	31	13	19	0	1	2	52	7	52	31	13	40	11	11	42	30	56	10	7	359	93	7	7	283	7	57	39	13	29	19	99	2	42	59	45	9	0
OG1RFRS00540	19	32	10	32	51	25	9	7	2	104	2	59	34	23	33	105	13	33	119	2	2	11	7	46	20	32	0	17	88	85	33	31	17	55	19	37	1	10	50	7	50	17	25	10	11	34	2	32	51	276	7	36	0	7	7	70	7	119	41	25	31	19	84	2	2	28	33	9	94
OG1RFRS00565	19	26	10	26	14	13	9	7	35	70	35	11	53	21	38	13	13	38	15	35	54	11	7	11	20	26	0	17	25	62	38	25	17	13	19	30	1	11	38	7	38	17	13	10	11	11	35	26	14	10	7	128	45	7	7	14	7	15	32	13	25	19	61	2	35	8	38	9	21
OG1RFRS00580	18	16	10	16	52	13	9	7	6	119	6	36	11	22	43	13	13	43	14	6	74	151	7	36	20	16	0	16	90	128	43	29	49	13	18	0	1	69	53	7	53	49	13	10	150	31	41	16	52	10	7	262	84	7	7	27	7	14	37	13	29	18	87	2	6	8	43	9	105
OG1RFRS00585	13	23	11	132	39	13	10	8	7	0	7	5	5	5	8	13	13	8	14	7	2	5	8	5	16	132	145	15	53	66	8	22	15	13	13	27	1	3	27	8	27	15	13	11	5	5	7	23	39	11	8	38	10	8	8	26	8	14	29	13	22	13	19	2	7	9	8	10	64
